p1	p2	rg	p	p1_id	p2_id	id	method
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_bNGF_eur	pmid27455348_ALS_eur/pmid27989323_bNGF_eur	hdl
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_bNGF_eur	pmid27455348_ALS_eur	pmid27989323_bNGF_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_CTACK_eur	pmid27455348_ALS_eur/pmid27989323_CTACK_eur	hdl
../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_CTACK_eur	pmid27455348_ALS_eur	pmid27989323_CTACK_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	-0.5897	  3.77e-01 	pmid27455348_ALS_eur	pmid27989323_eotaxin_eur	pmid27455348_ALS_eur/pmid27989323_eotaxin_eur	hdl
../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-0.5897	  3.77e-01 	pmid27989323_eotaxin_eur	pmid27455348_ALS_eur	pmid27989323_eotaxin_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_GCSF_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_GCSF_eur	pmid27455348_ALS_eur/pmid27989323_GCSF_eur	hdl
../output_wrangling/output_pmid27989323_GCSF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_GCSF_eur	pmid27455348_ALS_eur	pmid27989323_GCSF_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_GROa_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_GROa_eur	pmid27455348_ALS_eur/pmid27989323_GROa_eur	hdl
../output_wrangling/output_pmid27989323_GROa_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_GROa_eur	pmid27455348_ALS_eur	pmid27989323_GROa_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_HGF_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_HGF_eur	pmid27455348_ALS_eur/pmid27989323_HGF_eur	hdl
../output_wrangling/output_pmid27989323_HGF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_HGF_eur	pmid27455348_ALS_eur	pmid27989323_HGF_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IFNg_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IFNg_eur	pmid27455348_ALS_eur/pmid27989323_IFNg_eur	hdl
../output_wrangling/output_pmid27989323_IFNg_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IFNg_eur	pmid27455348_ALS_eur	pmid27989323_IFNg_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL10_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL10_eur	pmid27455348_ALS_eur/pmid27989323_IL10_eur	hdl
../output_wrangling/output_pmid27989323_IL10_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL10_eur	pmid27455348_ALS_eur	pmid27989323_IL10_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	0	  0.00e+00 	pmid27455348_ALS_eur	pmid27989323_IL12p70_eur	pmid27455348_ALS_eur/pmid27989323_IL12p70_eur	hdl
../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  0.00e+00 	pmid27989323_IL12p70_eur	pmid27455348_ALS_eur	pmid27989323_IL12p70_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL13_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL13_eur	pmid27455348_ALS_eur/pmid27989323_IL13_eur	hdl
../output_wrangling/output_pmid27989323_IL13_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL13_eur	pmid27455348_ALS_eur	pmid27989323_IL13_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL16_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL16_eur	pmid27455348_ALS_eur/pmid27989323_IL16_eur	hdl
