p1	p2	rg	p	p1_id	p2_id	id	method	q
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	0	0	pmid27455348_ALS_eur	pmid27989323_IL12p70_eur	pmid27455348_ALS_eur/pmid27989323_IL12p70_eur	hdl	0
../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	0	pmid27989323_IL12p70_eur	pmid27455348_ALS_eur	pmid27989323_IL12p70_eur/pmid27455348_ALS_eur	hdl	0
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	0	pmid27455348_ALS_eur	pmid27989323_MIF_eur	pmid27455348_ALS_eur/pmid27989323_MIF_eur	hdl	0
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	0	pmid27989323_MIF_eur	pmid27455348_ALS_eur	pmid27989323_MIF_eur/pmid27455348_ALS_eur	hdl	0
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	0.8169	2.86e-10	pmid27455348_ALS_eur	pmid29566793_ALS_eur	pmid27455348_ALS_eur/pmid29566793_ALS_eur	hdl	7.865e-10
../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0.8169	2.86e-10	pmid29566793_ALS_eur	pmid27455348_ALS_eur	pmid29566793_ALS_eur/pmid27455348_ALS_eur	hdl	7.865e-10
../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	0	0	pmid27989323_IL12p70_eur	pmid27989323_eotaxin_eur	pmid27989323_IL12p70_eur/pmid27989323_eotaxin_eur	hdl	0
../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	0	0	pmid27989323_eotaxin_eur	pmid27989323_IL12p70_eur	pmid27989323_eotaxin_eur/pmid27989323_IL12p70_eur	hdl	0
../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	0	0	pmid27989323_IL12p70_eur	pmid27989323_IL1ra_eur	pmid27989323_IL12p70_eur/pmid27989323_IL1ra_eur	hdl	0
../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	0	0	pmid27989323_IL1ra_eur	pmid27989323_IL12p70_eur	pmid27989323_IL1ra_eur/pmid27989323_IL12p70_eur	hdl	0
../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	0	0	pmid27989323_IL12p70_eur	pmid27989323_ip10_eur	pmid27989323_IL12p70_eur/pmid27989323_ip10_eur	hdl	0
../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	0	0	pmid27989323_ip10_eur	pmid27989323_IL12p70_eur	pmid27989323_ip10_eur/pmid27989323_IL12p70_eur	hdl	0
