p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	1	4.532e-05	2.207e+04	0	0.05577	0.0284	1.059	0.008976	1.059	0.008976	pmid21833088_MS_eur	pmid21833088_MS_eur	pmid21833088_MS_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	1.019	0.05411	18.84	3.892e-79	1.378	0.2126	1.057	0.0892	0.1829	0.06602	pmid21833088_MS_eur	pmid24076602_MS_eur	pmid21833088_MS_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2772	0.06861	1.017	0.00707	-0.001989	0.006009	pmid21833088_MS_eur	pmid24816252_acetylcarnitine_eur	pmid21833088_MS_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.09494	0.1454	0.6531	0.5137	0.5836	0.07842	1.024	0.008048	-0.01019	0.00565	pmid21833088_MS_eur	pmid24816252_alanine_eur	pmid21833088_MS_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	-0.6098	0.9854	-0.6188	0.5361	0.02863	0.06781	1.042	0.008114	0.003195	0.004936	pmid21833088_MS_eur	pmid24816252_arginine_eur	pmid21833088_MS_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.0226	0.145	-0.1559	0.8761	0.4915	0.08993	1.039	0.01113	-0.002974	0.005079	pmid21833088_MS_eur	pmid24816252_asparagine_eur	pmid21833088_MS_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	-0.004943	0.07401	1.059	0.007674	1.097e-05	0.005599	pmid21833088_MS_eur	pmid24816252_cholesterol_eur	pmid21833088_MS_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.07818	0.17	0.4599	0.6456	0.4163	0.09006	1.081	0.009512	-8.615e-05	0.006178	pmid21833088_MS_eur	pmid24816252_citrate_eur	pmid21833088_MS_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.2443	0.2094	-1.167	0.2434	0.1982	0.06394	0.9247	0.007113	0.006072	0.005561	pmid21833088_MS_eur	pmid24816252_glutamate_eur	pmid21833088_MS_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.2192	0.06377	1.016	0.007765	-0.003709	0.005675	pmid21833088_MS_eur	pmid24816252_glycerol_eur	pmid21833088_MS_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.1264	0.1201	-1.053	0.2925	0.5538	0.06369	0.7439	0.006102	-0.003395	0.004674	pmid21833088_MS_eur	pmid24816252_histidine_eur	pmid21833088_MS_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.3558	0.06573	0.993	0.00757	0.003334	0.005051	pmid21833088_MS_eur	pmid24816252_isoleucine_eur	pmid21833088_MS_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.07454	0.1244	0.5991	0.5491	0.5075	0.05299	0.758	0.005939	-0.005787	0.004592	pmid21833088_MS_eur	pmid24816252_phenylalanine_eur	pmid21833088_MS_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	-0.07105	0.1535	-0.4629	0.6434	0.411	0.08682	1.052	0.01067	0.004465	0.005533	pmid21833088_MS_eur	pmid24816252_proline_eur	pmid21833088_MS_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.1511	0.2356	0.6412	0.5214	0.1928	0.06561	1.004	0.007083	-0.009544	0.005709	pmid21833088_MS_eur	pmid24816252_pyruvate_eur	pmid21833088_MS_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.2574	0.8905	-0.2891	0.7725	0.0261	0.09034	1.005	0.007801	0.003523	0.005435	pmid21833088_MS_eur	pmid24816252_threonine_eur	pmid21833088_MS_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	-0.008095	0.1077	-0.07515	0.9401	1.096	0.08978	1.086	0.00933	0.0003547	0.005202	pmid21833088_MS_eur	pmid24816252_tryptophan_eur	pmid21833088_MS_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	-0.1142	0.354	-0.3226	0.747	0.08425	0.07323	1.044	0.008112	0.002913	0.005555	pmid21833088_MS_eur	pmid24816252_tyrosine_eur	pmid21833088_MS_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.1629	0.06371	1.014	0.007294	-0.0001932	0.00523	pmid21833088_MS_eur	pmid24816252_urea_eur	pmid21833088_MS_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	-1.811	0.3788	-4.782	1.736e-06	0.2176	0.0511	1.074	0.01017	-0.1387	0.007645	pmid21833088_MS_eur	pmid27386562_MS_eur	pmid21833088_MS_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.3886	0.3366	1.154	0.2483	0.034	0.01425	1.006	0.007547	0.05327	0.006125	pmid21833088_MS_eur	pmid27455348_ALS_eur	pmid21833088_MS_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.05744	0.1326	1.004	0.008476	0.0008441	0.005371	pmid21833088_MS_eur	pmid27989323_CTACK_eur	pmid21833088_MS_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0	NA	NA	NA	-0.03511	0.06654	1.014	0.008603	-0.00165	0.005186	pmid21833088_MS_eur	pmid27989323_GCSF_eur	pmid21833088_MS_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-51.59	34.44	1.598	0.7726	0.08549	0.4314	pmid21833088_MS_eur	pmid27989323_GROa_eur	pmid21833088_MS_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid21833088_MS_eur	pmid27989323_HGF_eur	pmid21833088_MS_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	-0.05799	0.06645	1.006	0.008096	0.006247	0.005677	pmid21833088_MS_eur	pmid27989323_IFNg_eur	pmid21833088_MS_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.1089	0.1062	1.029	0.01797	0.004093	0.005652	pmid21833088_MS_eur	pmid27989323_IL10_eur	pmid21833088_MS_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.1067	0.147	1.046	0.02951	0.0102	0.006404	pmid21833088_MS_eur	pmid27989323_IL12p70_eur	pmid21833088_MS_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1015	0.2224	1.016	0.01678	-0.002836	0.005936	pmid21833088_MS_eur	pmid27989323_IL13_eur	pmid21833088_MS_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.05674	0.1509	0.9932	0.008597	0.008365	0.005689	pmid21833088_MS_eur	pmid27989323_IL16_eur	pmid21833088_MS_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-2.951	2.087	1.486	0.1729	-0.07879	0.1361	pmid21833088_MS_eur	pmid27989323_IL17_eur	pmid21833088_MS_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid21833088_MS_eur	pmid27989323_IL18_eur	pmid21833088_MS_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0	NA	NA	NA	-0.01338	0.1416	1.009	0.008601	-0.00158	0.006185	pmid21833088_MS_eur	pmid27989323_IL1ra_eur	pmid21833088_MS_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.01265	0.1375	1.009	0.007757	0.001135	0.005399	pmid21833088_MS_eur	pmid27989323_IL2_eur	pmid21833088_MS_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid21833088_MS_eur	pmid27989323_IL2ra_eur	pmid21833088_MS_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.1445	0.06392	1.023	0.008599	0.007197	0.005514	pmid21833088_MS_eur	pmid27989323_IL4_eur	pmid21833088_MS_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL5_eur.sumstats.gz	0	NA	NA	NA	-0.06289	0.1551	1.007	0.008686	-0.0014	0.005819	pmid21833088_MS_eur	pmid27989323_IL5_eur	pmid21833088_MS_eur/pmid27989323_IL5_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL6_eur.sumstats.gz	0	NA	NA	NA	-0.08352	0.06497	1.019	0.008586	0.01229	0.005458	pmid21833088_MS_eur	pmid27989323_IL6_eur	pmid21833088_MS_eur/pmid27989323_IL6_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL7_eur.sumstats.gz	0	NA	NA	NA	-0.02196	0.1747	1.012	0.01145	-0.005346	0.00629	pmid21833088_MS_eur	pmid27989323_IL7_eur	pmid21833088_MS_eur/pmid27989323_IL7_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL8_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid21833088_MS_eur	pmid27989323_IL8_eur	pmid21833088_MS_eur/pmid27989323_IL8_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL9_eur.sumstats.gz	0	NA	NA	NA	-0.05194	0.1412	1.006	0.007534	-0.000688	0.005985	pmid21833088_MS_eur	pmid27989323_IL9_eur	pmid21833088_MS_eur/pmid27989323_IL9_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	-0.2052	0.2828	-0.7257	0.468	0.1672	0.08164	0.9943	0.00865	0.002281	0.00589	pmid21833088_MS_eur	pmid27989323_MCP1_eur	pmid21833088_MS_eur/pmid27989323_MCP1_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP3_eur.sumstats.gz	0	NA	NA	NA	-0.7412	0.6218	1.009	0.008796	0.004081	0.005978	pmid21833088_MS_eur	pmid27989323_MCP3_eur	pmid21833088_MS_eur/pmid27989323_MCP3_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	0.06395	0.7269	0.08797	0.9299	0.2265	0.5863	0.987	0.00782	0.0003249	0.004952	pmid21833088_MS_eur	pmid27989323_MCSF_eur	pmid21833088_MS_eur/pmid27989323_MCSF_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	-0.04148	0.4988	-0.08316	0.9337	0.0946	0.1481	1.005	0.008083	0.002234	0.005201	pmid21833088_MS_eur	pmid27989323_MIF_eur	pmid21833088_MS_eur/pmid27989323_MIF_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	0	NA	NA	NA	-0.2344	0.1431	1.016	0.008928	0.01115	0.005469	pmid21833088_MS_eur	pmid27989323_MIG_eur	pmid21833088_MS_eur/pmid27989323_MIG_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	-0.2913	1.014	-0.2873	0.7739	0.05548	0.1569	0.9991	0.007947	0.004909	0.005739	pmid21833088_MS_eur	pmid27989323_MIP1a_eur	pmid21833088_MS_eur/pmid27989323_MIP1a_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid21833088_MS_eur	pmid27989323_MIP1b_eur	pmid21833088_MS_eur/pmid27989323_MIP1b_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	0	NA	NA	NA	-0.06137	0.07094	1.032	0.01007	0.007129	0.005976	pmid21833088_MS_eur	pmid27989323_PDGFbb_eur	pmid21833088_MS_eur/pmid27989323_PDGFbb_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	-0.8025	1.304	-0.6156	0.5381	0.06215	0.1455	1.002	0.008128	0.01434	0.005395	pmid21833088_MS_eur	pmid27989323_RANTES_eur	pmid21833088_MS_eur/pmid27989323_RANTES_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	0	NA	NA	NA	-0.1017	0.06519	1.026	0.008816	-0.001671	0.005371	pmid21833088_MS_eur	pmid27989323_SCF_eur	pmid21833088_MS_eur/pmid27989323_SCF_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	0.5605	0.5111	1.097	0.2728	0.2168	0.1977	1.007	0.01177	0.001606	0.008564	pmid21833088_MS_eur	pmid27989323_SCGFb_eur	pmid21833088_MS_eur/pmid27989323_SCGFb_eur	ldsc
../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	0	NA	NA	NA	-0.05543	0.09034	1.001	0.008107	0.003776	0.005223	pmid21833088_MS_eur	pmid27989323_SDF1_eur	pmid21833088_MS_eur/pmid27989323_SDF1_eur	ldsc
