p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	1.021	0.00777	pmid24816252_acetylcarnitine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.0653	0.02799	1.054	0.009029	-0.001989	0.006009	pmid24816252_acetylcarnitine_eur	pmid21833088_MS_eur	pmid24816252_acetylcarnitine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_acetylcarnitine_eur	pmid24076602_MS_eur	pmid24816252_acetylcarnitine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5276	0.07069	1.012	0.006913	-0.1388	0.004816	pmid24816252_acetylcarnitine_eur	pmid24816252_alanine_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	-0.1071	0.004342	pmid24816252_acetylcarnitine_eur	pmid24816252_arginine_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.4987	0.06618	1.019	0.00703	-0.08787	0.005067	pmid24816252_acetylcarnitine_eur	pmid24816252_asparagine_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1371	0.07101	1.043	0.006758	0.04839	0.00491	pmid24816252_acetylcarnitine_eur	pmid24816252_cholesterol_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4515	0.07758	1.059	0.007794	0.375	0.005134	pmid24816252_acetylcarnitine_eur	pmid24816252_citrate_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1583	0.05728	0.9325	0.005978	0.03547	0.004494	pmid24816252_acetylcarnitine_eur	pmid24816252_glutamate_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.3915	0.004576	pmid24816252_acetylcarnitine_eur	pmid24816252_glycerol_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	0.4424	0.07195	0.757	0.006326	-0.1018	0.004379	pmid24816252_acetylcarnitine_eur	pmid24816252_histidine_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	0.03421	0.004289	pmid24816252_acetylcarnitine_eur	pmid24816252_isoleucine_eur	pmid24816252_acetylcarnitine_eur/pmid24816252_isoleucine_eur	ldsc
