p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	1	2.381e-07	4.2e+06	0	0.5276	0.07069	1.012	0.006913	1.012	0.006913	pmid24816252_alanine_eur	pmid24816252_alanine_eur	pmid24816252_alanine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.09494	0.1454	0.6531	0.5137	0.0653	0.02799	1.054	0.009029	-0.01019	0.00565	pmid24816252_alanine_eur	pmid21833088_MS_eur	pmid24816252_alanine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.03579	0.1217	0.2941	0.7687	1.525	0.2708	1.031	0.09023	0.005791	0.02174	pmid24816252_alanine_eur	pmid24076602_MS_eur	pmid24816252_alanine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	-0.1388	0.004816	pmid24816252_alanine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_alanine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.08345	0.004665	pmid24816252_alanine_eur	pmid24816252_arginine_eur	pmid24816252_alanine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.2568	0.08019	3.203	0.001361	0.4987	0.06618	1.019	0.00703	0.3544	0.004834	pmid24816252_alanine_eur	pmid24816252_asparagine_eur	pmid24816252_alanine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.638	0.2092	3.05	0.002288	0.1371	0.07101	1.043	0.006758	0.1067	0.004493	pmid24816252_alanine_eur	pmid24816252_cholesterol_eur	pmid24816252_alanine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.04992	0.103	0.4848	0.6278	0.4515	0.07758	1.059	0.007794	0.1111	0.004964	pmid24816252_alanine_eur	pmid24816252_citrate_eur	pmid24816252_alanine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.08158	0.1516	0.5381	0.5905	0.1583	0.05728	0.9325	0.005978	0.2675	0.005098	pmid24816252_alanine_eur	pmid24816252_glutamate_eur	pmid24816252_alanine_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.09649	0.004763	pmid24816252_alanine_eur	pmid24816252_glycerol_eur	pmid24816252_alanine_eur/pmid24816252_glycerol_eur	ldsc
