p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	1.037	0.007251	pmid24816252_arginine_eur	pmid24816252_arginine_eur	pmid24816252_arginine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.6098	0.9854	-0.6188	0.5361	0.0653	0.02799	1.054	0.009029	0.003195	0.004936	pmid24816252_arginine_eur	pmid21833088_MS_eur	pmid24816252_arginine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_arginine_eur	pmid24076602_MS_eur	pmid24816252_arginine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	-0.1071	0.004342	pmid24816252_arginine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_arginine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5276	0.07069	1.012	0.006913	0.08345	0.004665	pmid24816252_arginine_eur	pmid24816252_alanine_eur	pmid24816252_arginine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.4987	0.06618	1.019	0.00703	0.1592	0.004765	pmid24816252_arginine_eur	pmid24816252_asparagine_eur	pmid24816252_arginine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1371	0.07101	1.043	0.006758	0.07053	0.004409	pmid24816252_arginine_eur	pmid24816252_cholesterol_eur	pmid24816252_arginine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4515	0.07758	1.059	0.007794	-0.04772	0.00464	pmid24816252_arginine_eur	pmid24816252_citrate_eur	pmid24816252_arginine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1583	0.05728	0.9325	0.005978	-0.07221	0.004227	pmid24816252_arginine_eur	pmid24816252_glutamate_eur	pmid24816252_arginine_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	-0.08118	0.004572	pmid24816252_arginine_eur	pmid24816252_glycerol_eur	pmid24816252_arginine_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	0.4424	0.07195	0.757	0.006326	0.19	0.004107	pmid24816252_arginine_eur	pmid24816252_histidine_eur	pmid24816252_arginine_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	-0.005722	0.004598	pmid24816252_arginine_eur	pmid24816252_isoleucine_eur	pmid24816252_arginine_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0	NA	NA	NA	0.3394	0.04475	0.7761	0.005172	0.02956	0.003803	pmid24816252_arginine_eur	pmid24816252_phenylalanine_eur	pmid24816252_arginine_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0	NA	NA	NA	0.3879	0.08827	1.036	0.01216	0.09116	0.004851	pmid24816252_arginine_eur	pmid24816252_proline_eur	pmid24816252_arginine_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0	NA	NA	NA	0.137	0.05392	1.001	0.005646	-0.08137	0.004628	pmid24816252_arginine_eur	pmid24816252_pyruvate_eur	pmid24816252_arginine_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0	NA	NA	NA	0.05403	0.08267	1.009	0.006536	0.1514	0.004718	pmid24816252_arginine_eur	pmid24816252_threonine_eur	pmid24816252_arginine_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0	NA	NA	NA	0.9201	0.07416	1.049	0.007824	0.07336	0.004665	pmid24816252_arginine_eur	pmid24816252_tryptophan_eur	pmid24816252_arginine_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0	NA	NA	NA	0.1747	0.07338	1.031	0.007336	0.04799	0.004167	pmid24816252_arginine_eur	pmid24816252_tyrosine_eur	pmid24816252_arginine_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.08137	0.05293	1.013	0.006229	-0.02851	0.004269	pmid24816252_arginine_eur	pmid24816252_urea_eur	pmid24816252_arginine_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0	NA	NA	NA	0.2309	0.04658	1.069	0.00867	-0.01371	0.005362	pmid24816252_arginine_eur	pmid27386562_MS_eur	pmid24816252_arginine_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0	NA	NA	NA	0.04137	0.01302	1.002	0.006815	-0.0035	0.004725	pmid24816252_arginine_eur	pmid27455348_ALS_eur	pmid24816252_arginine_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	0.01336	0.1208	1.001	0.007337	0.001003	0.004476	pmid24816252_arginine_eur	pmid27989323_CTACK_eur	pmid24816252_arginine_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0	NA	NA	NA	0.02023	0.05812	1.008	0.007908	-0.01092	0.004619	pmid24816252_arginine_eur	pmid27989323_GCSF_eur	pmid24816252_arginine_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-73.49	22.44	2.133	0.5225	0.5265	0.612	pmid24816252_arginine_eur	pmid27989323_GROa_eur	pmid24816252_arginine_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.01964	0.05762	1.009	0.007962	0.002287	0.004157	pmid24816252_arginine_eur	pmid27989323_HGF_eur	pmid24816252_arginine_eur/pmid27989323_HGF_eur	ldsc
