p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	1	1.007e-06	9.929e+05	0	0.4987	0.06618	1.019	0.00703	1.019	0.00703	pmid24816252_asparagine_eur	pmid24816252_asparagine_eur	pmid24816252_asparagine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.0226	0.145	-0.1559	0.8761	0.0653	0.02799	1.054	0.009029	-0.002974	0.005079	pmid24816252_asparagine_eur	pmid21833088_MS_eur	pmid24816252_asparagine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.02154	0.1105	-0.195	0.8454	1.525	0.2708	1.031	0.09023	-0.02127	0.02228	pmid24816252_asparagine_eur	pmid24076602_MS_eur	pmid24816252_asparagine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	-0.08787	0.005067	pmid24816252_asparagine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_asparagine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.2568	0.08019	3.203	0.001361	0.5276	0.07069	1.012	0.006913	0.3544	0.004834	pmid24816252_asparagine_eur	pmid24816252_alanine_eur	pmid24816252_asparagine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.1592	0.004765	pmid24816252_asparagine_eur	pmid24816252_arginine_eur	pmid24816252_asparagine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.02423	0.1582	0.1532	0.8782	0.1371	0.07101	1.043	0.006758	-0.05424	0.004101	pmid24816252_asparagine_eur	pmid24816252_cholesterol_eur	pmid24816252_asparagine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.1707	0.09786	1.745	0.08104	0.4515	0.07758	1.059	0.007794	0.09798	0.004715	pmid24816252_asparagine_eur	pmid24816252_citrate_eur	pmid24816252_asparagine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.1346	0.1632	-0.8244	0.4097	0.1583	0.05728	0.9325	0.005978	-0.002413	0.004662	pmid24816252_asparagine_eur	pmid24816252_glutamate_eur	pmid24816252_asparagine_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	-0.0942	0.004766	pmid24816252_asparagine_eur	pmid24816252_glycerol_eur	pmid24816252_asparagine_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.3669	0.08056	4.555	5.238e-06	0.4424	0.07195	0.757	0.006326	0.2059	0.004661	pmid24816252_asparagine_eur	pmid24816252_histidine_eur	pmid24816252_asparagine_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	0.0214	0.004287	pmid24816252_asparagine_eur	pmid24816252_isoleucine_eur	pmid24816252_asparagine_eur/pmid24816252_isoleucine_eur	ldsc
