p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	1	1.61e-06	6.21e+05	0	0.1371	0.07101	1.043	0.006758	1.043	0.006758	pmid24816252_cholesterol_eur	pmid24816252_cholesterol_eur	pmid24816252_cholesterol_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.0653	0.02799	1.054	0.009029	1.097e-05	0.005599	pmid24816252_cholesterol_eur	pmid21833088_MS_eur	pmid24816252_cholesterol_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.3282	0.1677	-1.957	0.05035	1.525	0.2708	1.031	0.09023	0.05461	0.02309	pmid24816252_cholesterol_eur	pmid24076602_MS_eur	pmid24816252_cholesterol_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	0.04839	0.00491	pmid24816252_cholesterol_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_cholesterol_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.638	0.2092	3.05	0.002288	0.5276	0.07069	1.012	0.006913	0.1067	0.004493	pmid24816252_cholesterol_eur	pmid24816252_alanine_eur	pmid24816252_cholesterol_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.07053	0.004409	pmid24816252_cholesterol_eur	pmid24816252_arginine_eur	pmid24816252_cholesterol_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.02423	0.1582	0.1532	0.8782	0.4987	0.06618	1.019	0.00703	-0.05424	0.004101	pmid24816252_cholesterol_eur	pmid24816252_asparagine_eur	pmid24816252_cholesterol_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.2413	0.1873	1.288	0.1976	0.4515	0.07758	1.059	0.007794	0.05869	0.004856	pmid24816252_cholesterol_eur	pmid24816252_citrate_eur	pmid24816252_cholesterol_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.7876	0.3189	2.47	0.01352	0.1583	0.05728	0.9325	0.005978	0.09973	0.004633	pmid24816252_cholesterol_eur	pmid24816252_glutamate_eur	pmid24816252_cholesterol_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.1714	0.004933	pmid24816252_cholesterol_eur	pmid24816252_glycerol_eur	pmid24816252_cholesterol_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.1411	0.1507	0.9359	0.3493	0.4424	0.07195	0.757	0.006326	0.01647	0.004085	pmid24816252_cholesterol_eur	pmid24816252_histidine_eur	pmid24816252_cholesterol_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	0.01876	0.004265	pmid24816252_cholesterol_eur	pmid24816252_isoleucine_eur	pmid24816252_cholesterol_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.3669	0.2239	1.639	0.1013	0.3394	0.04475	0.7761	0.005172	-0.001014	0.004141	pmid24816252_cholesterol_eur	pmid24816252_phenylalanine_eur	pmid24816252_cholesterol_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.06441	0.1909	0.3374	0.7358	0.3879	0.08827	1.036	0.01216	0.005724	0.004251	pmid24816252_cholesterol_eur	pmid24816252_proline_eur	pmid24816252_cholesterol_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.729	0.3464	2.104	0.03535	0.137	0.05392	1.001	0.005646	0.03481	0.004568	pmid24816252_cholesterol_eur	pmid24816252_pyruvate_eur	pmid24816252_cholesterol_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0.2119	0.6349	0.3338	0.7385	0.05403	0.08267	1.009	0.006536	-0.0335	0.004235	pmid24816252_cholesterol_eur	pmid24816252_threonine_eur	pmid24816252_cholesterol_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.2171	0.1383	1.57	0.1165	0.9201	0.07416	1.049	0.007824	0.02185	0.004622	pmid24816252_cholesterol_eur	pmid24816252_tryptophan_eur	pmid24816252_cholesterol_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0.478	0.34	1.406	0.1598	0.1747	0.07338	1.031	0.007336	0.04892	0.004359	pmid24816252_cholesterol_eur	pmid24816252_tyrosine_eur	pmid24816252_cholesterol_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.08137	0.05293	1.013	0.006229	0.05415	0.004479	pmid24816252_cholesterol_eur	pmid24816252_urea_eur	pmid24816252_cholesterol_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	-0.03433	0.1808	-0.1898	0.8494	0.2309	0.04658	1.069	0.00867	0.006204	0.005008	pmid24816252_cholesterol_eur	pmid27386562_MS_eur	pmid24816252_cholesterol_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	-0.08133	0.2933	-0.2773	0.7816	0.04137	0.01302	1.002	0.006815	0.003252	0.004662	pmid24816252_cholesterol_eur	pmid27455348_ALS_eur	pmid24816252_cholesterol_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_cholesterol_eur	pmid27989323_CTACK_eur	pmid24816252_cholesterol_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0.9642	1.881	0.5127	0.6081	0.02023	0.05812	1.008	0.007908	-0.00779	0.004873	pmid24816252_cholesterol_eur	pmid27989323_GCSF_eur	pmid24816252_cholesterol_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-73.49	22.44	2.133	0.5225	-0.8126	1.006	pmid24816252_cholesterol_eur	pmid27989323_GROa_eur	pmid24816252_cholesterol_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.01964	0.05762	1.009	0.007962	-0.003675	0.005248	pmid24816252_cholesterol_eur	pmid27989323_HGF_eur	pmid24816252_cholesterol_eur/pmid27989323_HGF_eur	ldsc
