p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.9998	4.43e-05	2.257e+04	0	0.4515	0.07758	1.059	0.007794	1.059	0.007794	pmid24816252_citrate_eur	pmid24816252_citrate_eur	pmid24816252_citrate_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.07818	0.17	0.4599	0.6456	0.0653	0.02799	1.054	0.009029	-8.615e-05	0.006178	pmid24816252_citrate_eur	pmid21833088_MS_eur	pmid24816252_citrate_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.05998	0.3696	-0.1623	0.8711	1.525	0.2708	1.031	0.09023	-0.003903	0.02414	pmid24816252_citrate_eur	pmid24076602_MS_eur	pmid24816252_citrate_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	0.375	0.005134	pmid24816252_citrate_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_citrate_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.04992	0.103	0.4848	0.6278	0.5276	0.07069	1.012	0.006913	0.1111	0.004964	pmid24816252_citrate_eur	pmid24816252_alanine_eur	pmid24816252_citrate_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	-0.04772	0.00464	pmid24816252_citrate_eur	pmid24816252_arginine_eur	pmid24816252_citrate_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.1707	0.09786	1.745	0.08104	0.4987	0.06618	1.019	0.00703	0.09798	0.004715	pmid24816252_citrate_eur	pmid24816252_asparagine_eur	pmid24816252_citrate_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.2413	0.1873	1.288	0.1976	0.1371	0.07101	1.043	0.006758	0.05869	0.004856	pmid24816252_citrate_eur	pmid24816252_cholesterol_eur	pmid24816252_citrate_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.294	0.1579	-1.863	0.06253	0.1583	0.05728	0.9325	0.005978	-0.1292	0.004569	pmid24816252_citrate_eur	pmid24816252_glutamate_eur	pmid24816252_citrate_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.3435	0.004919	pmid24816252_citrate_eur	pmid24816252_glycerol_eur	pmid24816252_citrate_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.08871	0.105	0.8445	0.3984	0.4424	0.07195	0.757	0.006326	-0.07393	0.004669	pmid24816252_citrate_eur	pmid24816252_histidine_eur	pmid24816252_citrate_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	-0.03171	0.004563	pmid24816252_citrate_eur	pmid24816252_isoleucine_eur	pmid24816252_citrate_eur/pmid24816252_isoleucine_eur	ldsc
