p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	1	4.086e-05	2.447e+04	0	0.1583	0.05728	0.9325	0.005978	0.9325	0.005978	pmid24816252_glutamate_eur	pmid24816252_glutamate_eur	pmid24816252_glutamate_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.2443	0.2094	-1.167	0.2434	0.0653	0.02799	1.054	0.009029	0.006072	0.005561	pmid24816252_glutamate_eur	pmid21833088_MS_eur	pmid24816252_glutamate_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.09444	0.1527	-0.6183	0.5364	1.525	0.2708	1.031	0.09023	0.04166	0.01796	pmid24816252_glutamate_eur	pmid24076602_MS_eur	pmid24816252_glutamate_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	0.03547	0.004494	pmid24816252_glutamate_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_glutamate_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.08158	0.1516	0.5381	0.5905	0.5276	0.07069	1.012	0.006913	0.2675	0.005098	pmid24816252_glutamate_eur	pmid24816252_alanine_eur	pmid24816252_glutamate_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	-0.07221	0.004227	pmid24816252_glutamate_eur	pmid24816252_arginine_eur	pmid24816252_glutamate_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.1346	0.1632	-0.8244	0.4097	0.4987	0.06618	1.019	0.00703	-0.002413	0.004662	pmid24816252_glutamate_eur	pmid24816252_asparagine_eur	pmid24816252_glutamate_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.7876	0.3189	2.47	0.01352	0.1371	0.07101	1.043	0.006758	0.09973	0.004633	pmid24816252_glutamate_eur	pmid24816252_cholesterol_eur	pmid24816252_glutamate_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.294	0.1579	-1.863	0.06253	0.4515	0.07758	1.059	0.007794	-0.1292	0.004569	pmid24816252_glutamate_eur	pmid24816252_citrate_eur	pmid24816252_glutamate_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.06354	0.004519	pmid24816252_glutamate_eur	pmid24816252_glycerol_eur	pmid24816252_glutamate_eur/pmid24816252_glycerol_eur	ldsc
