p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-1.3048e-01	0.0608	1.0166	0.0070	1.0163	0.0070	pmid24816252_glycerol_eur	pmid24816252_glycerol_eur	pmid24816252_glycerol_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	6.5295e-02	0.0280	1.0536	0.0090	-0.0037	0.0057	pmid24816252_glycerol_eur	pmid21833088_MS_eur	pmid24816252_glycerol_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.5254e+00	0.2708	1.0306	0.0902	-0.0046	0.0219	pmid24816252_glycerol_eur	pmid24076602_MS_eur	pmid24816252_glycerol_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-2.3986e-01	0.0823	1.0207	0.0076	0.3915	0.0046	pmid24816252_glycerol_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_glycerol_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	5.2756e-01	0.0707	1.0117	0.0069	0.0965	0.0048	pmid24816252_glycerol_eur	pmid24816252_alanine_eur	pmid24816252_glycerol_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-6.0485e-03	0.0636	1.0374	0.0073	-0.0812	0.0046	pmid24816252_glycerol_eur	pmid24816252_arginine_eur	pmid24816252_glycerol_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	4.9872e-01	0.0662	1.0188	0.0070	-0.0942	0.0048	pmid24816252_glycerol_eur	pmid24816252_asparagine_eur	pmid24816252_glycerol_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	1.3713e-01	0.0710	1.0435	0.0068	0.1714	0.0049	pmid24816252_glycerol_eur	pmid24816252_cholesterol_eur	pmid24816252_glycerol_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	4.5147e-01	0.0776	1.0588	0.0078	0.3435	0.0049	pmid24816252_glycerol_eur	pmid24816252_citrate_eur	pmid24816252_glycerol_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	1.5826e-01	0.0573	0.9325	0.0060	0.0635	0.0045	pmid24816252_glycerol_eur	pmid24816252_glutamate_eur	pmid24816252_glycerol_eur/pmid24816252_glutamate_eur	ldsc
