p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	1	0.0002061	4853	0	0.4424	0.07195	0.757	0.006326	0.757	0.006323	pmid24816252_histidine_eur	pmid24816252_histidine_eur	pmid24816252_histidine_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.1264	0.1201	-1.053	0.2925	0.0653	0.02799	1.054	0.009029	-0.003395	0.004674	pmid24816252_histidine_eur	pmid21833088_MS_eur	pmid24816252_histidine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.171	0.09981	-1.713	0.08675	1.525	0.2708	1.031	0.09023	0.02067	0.02086	pmid24816252_histidine_eur	pmid24076602_MS_eur	pmid24816252_histidine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	-0.1018	0.004379	pmid24816252_histidine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_histidine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.2078	0.08257	2.517	0.01185	0.5276	0.07069	1.012	0.006913	0.07134	0.004307	pmid24816252_histidine_eur	pmid24816252_alanine_eur	pmid24816252_histidine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.19	0.004107	pmid24816252_histidine_eur	pmid24816252_arginine_eur	pmid24816252_histidine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.3669	0.08056	4.555	5.238e-06	0.4987	0.06618	1.019	0.00703	0.2059	0.004661	pmid24816252_histidine_eur	pmid24816252_asparagine_eur	pmid24816252_histidine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.1411	0.1507	0.9359	0.3493	0.1371	0.07101	1.043	0.006758	0.01647	0.004085	pmid24816252_histidine_eur	pmid24816252_cholesterol_eur	pmid24816252_histidine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.08871	0.105	0.8445	0.3984	0.4515	0.07758	1.059	0.007794	-0.07393	0.004669	pmid24816252_histidine_eur	pmid24816252_citrate_eur	pmid24816252_histidine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.1581	0.1403	-1.127	0.2598	0.1583	0.05728	0.9325	0.005978	-0.12	0.003824	pmid24816252_histidine_eur	pmid24816252_glutamate_eur	pmid24816252_histidine_eur/pmid24816252_glutamate_eur	ldsc
