p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	1.001	0.0001387	7212	0	0.3394	0.04475	0.7761	0.005172	0.7761	0.005171	pmid24816252_phenylalanine_eur	pmid24816252_phenylalanine_eur	pmid24816252_phenylalanine_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.07454	0.1244	0.5991	0.5491	0.0653	0.02799	1.054	0.009029	-0.005787	0.004592	pmid24816252_phenylalanine_eur	pmid21833088_MS_eur	pmid24816252_phenylalanine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.01205	0.1452	-0.083	0.9339	1.525	0.2708	1.031	0.09023	0.0227	0.01585	pmid24816252_phenylalanine_eur	pmid24076602_MS_eur	pmid24816252_phenylalanine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	0.05648	0.003703	pmid24816252_phenylalanine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_phenylalanine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.2616	0.0794	3.295	0.0009845	0.5276	0.07069	1.012	0.006913	0.1913	0.003948	pmid24816252_phenylalanine_eur	pmid24816252_alanine_eur	pmid24816252_phenylalanine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.02956	0.003803	pmid24816252_phenylalanine_eur	pmid24816252_arginine_eur	pmid24816252_phenylalanine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.1647	0.09372	1.757	0.07886	0.4987	0.06618	1.019	0.00703	0.05965	0.003841	pmid24816252_phenylalanine_eur	pmid24816252_asparagine_eur	pmid24816252_phenylalanine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.3669	0.2239	1.639	0.1013	0.1371	0.07101	1.043	0.006758	-0.001014	0.004141	pmid24816252_phenylalanine_eur	pmid24816252_cholesterol_eur	pmid24816252_phenylalanine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.1079	0.09772	1.104	0.2695	0.4515	0.07758	1.059	0.007794	0.02671	0.003697	pmid24816252_phenylalanine_eur	pmid24816252_citrate_eur	pmid24816252_phenylalanine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.2208	0.1415	1.56	0.1187	0.1583	0.05728	0.9325	0.005978	0.1868	0.003657	pmid24816252_phenylalanine_eur	pmid24816252_glutamate_eur	pmid24816252_phenylalanine_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.1048	0.004056	pmid24816252_phenylalanine_eur	pmid24816252_glycerol_eur	pmid24816252_phenylalanine_eur/pmid24816252_glycerol_eur	ldsc
