p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	1	4.898e-06	2.042e+05	0	0.3879	0.08827	1.036	0.01216	1.036	0.01216	pmid24816252_proline_eur	pmid24816252_proline_eur	pmid24816252_proline_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.07105	0.1535	-0.4629	0.6434	0.0653	0.02799	1.054	0.009029	0.004465	0.005533	pmid24816252_proline_eur	pmid21833088_MS_eur	pmid24816252_proline_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.07518	0.1262	-0.5956	0.5515	1.525	0.2708	1.031	0.09023	0.007873	0.02068	pmid24816252_proline_eur	pmid24076602_MS_eur	pmid24816252_proline_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	-0.0596	0.004489	pmid24816252_proline_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_proline_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.4378	0.09432	4.642	3.451e-06	0.5276	0.07069	1.012	0.006913	0.3662	0.005014	pmid24816252_proline_eur	pmid24816252_alanine_eur	pmid24816252_proline_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.09116	0.004851	pmid24816252_proline_eur	pmid24816252_arginine_eur	pmid24816252_proline_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.1277	0.1102	1.159	0.2465	0.4987	0.06618	1.019	0.00703	0.08087	0.004993	pmid24816252_proline_eur	pmid24816252_asparagine_eur	pmid24816252_proline_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.06441	0.1909	0.3374	0.7358	0.1371	0.07101	1.043	0.006758	0.005724	0.004251	pmid24816252_proline_eur	pmid24816252_cholesterol_eur	pmid24816252_proline_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.08905	0.1065	-0.8365	0.4029	0.4515	0.07758	1.059	0.007794	-0.0003979	0.004966	pmid24816252_proline_eur	pmid24816252_citrate_eur	pmid24816252_proline_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.05014	0.1841	0.2723	0.7854	0.1583	0.05728	0.9325	0.005978	0.1995	0.004812	pmid24816252_proline_eur	pmid24816252_glutamate_eur	pmid24816252_proline_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.01714	0.004855	pmid24816252_proline_eur	pmid24816252_glycerol_eur	pmid24816252_proline_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.1357	0.09613	1.412	0.1579	0.4424	0.07195	0.757	0.006326	0.05043	0.00416	pmid24816252_proline_eur	pmid24816252_histidine_eur	pmid24816252_proline_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	0.3856	0.004741	pmid24816252_proline_eur	pmid24816252_isoleucine_eur	pmid24816252_proline_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.2645	0.1021	2.591	0.009564	0.3394	0.04475	0.7761	0.005172	0.2071	0.004239	pmid24816252_proline_eur	pmid24816252_phenylalanine_eur	pmid24816252_proline_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.07725	0.1879	0.411	0.681	0.137	0.05392	1.001	0.005646	0.07298	0.004634	pmid24816252_proline_eur	pmid24816252_pyruvate_eur	pmid24816252_proline_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0.6107	0.5607	1.089	0.2761	0.05403	0.08267	1.009	0.006536	0.1638	0.004951	pmid24816252_proline_eur	pmid24816252_threonine_eur	pmid24816252_proline_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.2365	0.07255	3.26	0.001116	0.9201	0.07416	1.049	0.007824	0.1978	0.005045	pmid24816252_proline_eur	pmid24816252_tryptophan_eur	pmid24816252_proline_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0.4897	0.1866	2.625	0.008671	0.1747	0.07338	1.031	0.007336	0.3381	0.005585	pmid24816252_proline_eur	pmid24816252_tyrosine_eur	pmid24816252_proline_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.08137	0.05293	1.013	0.006229	0.08647	0.004347	pmid24816252_proline_eur	pmid24816252_urea_eur	pmid24816252_proline_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	-0.05004	0.1273	-0.3931	0.6943	0.2309	0.04658	1.069	0.00867	-0.000774	0.005589	pmid24816252_proline_eur	pmid27386562_MS_eur	pmid24816252_proline_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.06287	0.153	0.411	0.681	0.04137	0.01302	1.002	0.006815	0.0002299	0.004597	pmid24816252_proline_eur	pmid27455348_ALS_eur	pmid24816252_proline_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_proline_eur	pmid27989323_CTACK_eur	pmid24816252_proline_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0.8128	1.367	0.5947	0.552	0.02023	0.05812	1.008	0.007908	-0.0001141	0.004669	pmid24816252_proline_eur	pmid27989323_GCSF_eur	pmid24816252_proline_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-73.49	22.44	2.133	0.5225	-0.1369	0.8198	pmid24816252_proline_eur	pmid27989323_GROa_eur	pmid24816252_proline_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.01964	0.05762	1.009	0.007962	0.002171	0.004581	pmid24816252_proline_eur	pmid27989323_HGF_eur	pmid24816252_proline_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_proline_eur	pmid27989323_IFNg_eur	pmid24816252_proline_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.01302	0.08825	1.018	0.01357	0.0004242	0.004843	pmid24816252_proline_eur	pmid27989323_IL10_eur	pmid24816252_proline_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.03066	0.1141	1.036	0.02293	0.005639	0.005099	pmid24816252_proline_eur	pmid27989323_IL12p70_eur	pmid24816252_proline_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1681	0.1663	1.017	0.01285	0.002264	0.004618	pmid24816252_proline_eur	pmid27989323_IL13_eur	pmid24816252_proline_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.04992	0.1319	0.9933	0.007703	0.008256	0.004595	pmid24816252_proline_eur	pmid27989323_IL16_eur	pmid24816252_proline_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-4.107	1.482	1.499	0.1364	0.03181	0.08202	pmid24816252_proline_eur	pmid27989323_IL17_eur	pmid24816252_proline_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_proline_eur	pmid27989323_IL18_eur	pmid24816252_proline_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0.425	1.07	0.397	0.6913	0.04909	0.1362	1.006	0.008382	0.006277	0.004437	pmid24816252_proline_eur	pmid27989323_IL1ra_eur	pmid24816252_proline_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.04561	0.1333	1.011	0.007875	0.005658	0.004556	pmid24816252_proline_eur	pmid27989323_IL2_eur	pmid24816252_proline_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0.06126	0.7637	0.0802	0.9361	0.0247	0.1174	1.005	0.007122	0.003726	0.004629	pmid24816252_proline_eur	pmid27989323_IL2ra_eur	pmid24816252_proline_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.05576	0.05832	1.013	0.008281	0.006789	0.004773	pmid24816252_proline_eur	pmid27989323_IL4_eur	pmid24816252_proline_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL5_eur.sumstats.gz	0	NA	NA	NA	-0.1335	0.14	1.014	0.008358	0.007551	0.004934	pmid24816252_proline_eur	pmid27989323_IL5_eur	pmid24816252_proline_eur/pmid27989323_IL5_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL6_eur.sumstats.gz	0	NA	NA	NA	-0.007915	0.0573	1.009	0.007416	0.008036	0.004642	pmid24816252_proline_eur	pmid27989323_IL6_eur	pmid24816252_proline_eur/pmid27989323_IL6_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL7_eur.sumstats.gz	0	NA	NA	NA	-0.03867	0.1478	1.013	0.009485	0.005714	0.00481	pmid24816252_proline_eur	pmid27989323_IL7_eur	pmid24816252_proline_eur/pmid27989323_IL7_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL8_eur.sumstats.gz	0	NA	NA	NA	-0.04155	0.1303	1.009	0.007355	0.001623	0.005135	pmid24816252_proline_eur	pmid27989323_IL8_eur	pmid24816252_proline_eur/pmid27989323_IL8_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL9_eur.sumstats.gz	0	NA	NA	NA	-0.1422	0.1325	1.012	0.007601	0.005955	0.004477	pmid24816252_proline_eur	pmid27989323_IL9_eur	pmid24816252_proline_eur/pmid27989323_IL9_eur	ldsc
../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	-0.1363	0.1941	-0.7023	0.4825	0.1513	0.07194	0.997	0.008382	0.003247	0.004811	pmid24816252_proline_eur	pmid27989323_MCP1_eur	pmid24816252_proline_eur/pmid27989323_MCP1_eur	ldsc
