p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	1	2.207e-05	4.531e+04	0	0.137	0.05392	1.001	0.005646	1.001	0.005646	pmid24816252_pyruvate_eur	pmid24816252_pyruvate_eur	pmid24816252_pyruvate_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.1511	0.2356	0.6412	0.5214	0.0653	0.02799	1.054	0.009029	-0.009544	0.005709	pmid24816252_pyruvate_eur	pmid21833088_MS_eur	pmid24816252_pyruvate_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_pyruvate_eur	pmid24076602_MS_eur	pmid24816252_pyruvate_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	0.02869	0.004227	pmid24816252_pyruvate_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_pyruvate_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.6189	0.1573	3.934	8.339e-05	0.5276	0.07069	1.012	0.006913	0.3586	0.0052	pmid24816252_pyruvate_eur	pmid24816252_alanine_eur	pmid24816252_pyruvate_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	-0.08137	0.004628	pmid24816252_pyruvate_eur	pmid24816252_arginine_eur	pmid24816252_pyruvate_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.4067	0.1796	2.265	0.02354	0.4987	0.06618	1.019	0.00703	0.1249	0.004846	pmid24816252_pyruvate_eur	pmid24816252_asparagine_eur	pmid24816252_pyruvate_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.729	0.3464	2.104	0.03535	0.1371	0.07101	1.043	0.006758	0.03481	0.004568	pmid24816252_pyruvate_eur	pmid24816252_cholesterol_eur	pmid24816252_pyruvate_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.1913	0.2164	-0.884	0.3767	0.4515	0.07758	1.059	0.007794	0.07588	0.004875	pmid24816252_pyruvate_eur	pmid24816252_citrate_eur	pmid24816252_pyruvate_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.3496	0.2942	1.188	0.2346	0.1583	0.05728	0.9325	0.005978	0.1006	0.004561	pmid24816252_pyruvate_eur	pmid24816252_glutamate_eur	pmid24816252_pyruvate_eur/pmid24816252_glutamate_eur	ldsc
