p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	1	3.961e-06	2.525e+05	0	0.05403	0.08267	1.009	0.006536	1.009	0.006536	pmid24816252_threonine_eur	pmid24816252_threonine_eur	pmid24816252_threonine_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.2574	0.8905	-0.2891	0.7725	0.0653	0.02799	1.054	0.009029	0.003523	0.005435	pmid24816252_threonine_eur	pmid21833088_MS_eur	pmid24816252_threonine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_threonine_eur	pmid24076602_MS_eur	pmid24816252_threonine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	-0.07714	0.004909	pmid24816252_threonine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_threonine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.3578	0.4097	0.8732	0.3826	0.5276	0.07069	1.012	0.006913	0.1392	0.004978	pmid24816252_threonine_eur	pmid24816252_alanine_eur	pmid24816252_threonine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.1514	0.004718	pmid24816252_threonine_eur	pmid24816252_arginine_eur	pmid24816252_threonine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.5828	0.4835	1.205	0.228	0.4987	0.06618	1.019	0.00703	0.2026	0.004857	pmid24816252_threonine_eur	pmid24816252_asparagine_eur	pmid24816252_threonine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.2119	0.6349	0.3338	0.7385	0.1371	0.07101	1.043	0.006758	-0.0335	0.004235	pmid24816252_threonine_eur	pmid24816252_cholesterol_eur	pmid24816252_threonine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.4207	0.4563	0.9221	0.3565	0.4515	0.07758	1.059	0.007794	-0.03319	0.004557	pmid24816252_threonine_eur	pmid24816252_citrate_eur	pmid24816252_threonine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.579	0.6554	-0.8834	0.377	0.1583	0.05728	0.9325	0.005978	-0.05761	0.004026	pmid24816252_threonine_eur	pmid24816252_glutamate_eur	pmid24816252_threonine_eur/pmid24816252_glutamate_eur	ldsc
