p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	1	1.748e-07	5.72e+06	0	0.9201	0.07416	1.049	0.007824	1.049	0.007824	pmid24816252_tryptophan_eur	pmid24816252_tryptophan_eur	pmid24816252_tryptophan_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.008095	0.1077	-0.07515	0.9401	0.0653	0.02799	1.054	0.009029	0.0003547	0.005202	pmid24816252_tryptophan_eur	pmid21833088_MS_eur	pmid24816252_tryptophan_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.1402	0.09127	-1.536	0.1246	1.525	0.2708	1.031	0.09023	0.02759	0.02003	pmid24816252_tryptophan_eur	pmid24076602_MS_eur	pmid24816252_tryptophan_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	-0.1247	0.004758	pmid24816252_tryptophan_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_tryptophan_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.1868	0.07113	2.626	0.00865	0.5276	0.07069	1.012	0.006913	0.2494	0.005319	pmid24816252_tryptophan_eur	pmid24816252_alanine_eur	pmid24816252_tryptophan_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.07336	0.004665	pmid24816252_tryptophan_eur	pmid24816252_arginine_eur	pmid24816252_tryptophan_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.1273	0.07217	1.764	0.07781	0.4987	0.06618	1.019	0.00703	0.1257	0.00543	pmid24816252_tryptophan_eur	pmid24816252_asparagine_eur	pmid24816252_tryptophan_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.2171	0.1383	1.57	0.1165	0.1371	0.07101	1.043	0.006758	0.02185	0.004622	pmid24816252_tryptophan_eur	pmid24816252_cholesterol_eur	pmid24816252_tryptophan_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.008918	0.07833	-0.1138	0.9094	0.4515	0.07758	1.059	0.007794	-0.08539	0.005365	pmid24816252_tryptophan_eur	pmid24816252_citrate_eur	pmid24816252_tryptophan_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.09312	0.1079	0.8634	0.3879	0.1583	0.05728	0.9325	0.005978	0.1132	0.00438	pmid24816252_tryptophan_eur	pmid24816252_glutamate_eur	pmid24816252_tryptophan_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	-0.1513	0.004423	pmid24816252_tryptophan_eur	pmid24816252_glycerol_eur	pmid24816252_tryptophan_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.07096	0.06447	1.101	0.271	0.4424	0.07195	0.757	0.006326	0.1502	0.004341	pmid24816252_tryptophan_eur	pmid24816252_histidine_eur	pmid24816252_tryptophan_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	0.3846	0.005524	pmid24816252_tryptophan_eur	pmid24816252_isoleucine_eur	pmid24816252_tryptophan_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.3077	0.06148	5.005	5.574e-07	0.3394	0.04475	0.7761	0.005172	0.3681	0.004866	pmid24816252_tryptophan_eur	pmid24816252_phenylalanine_eur	pmid24816252_tryptophan_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.2365	0.07255	3.26	0.001116	0.3879	0.08827	1.036	0.01216	0.1978	0.005045	pmid24816252_tryptophan_eur	pmid24816252_proline_eur	pmid24816252_tryptophan_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.2001	0.1374	1.456	0.1454	0.137	0.05392	1.001	0.005646	0.05516	0.004929	pmid24816252_tryptophan_eur	pmid24816252_pyruvate_eur	pmid24816252_tryptophan_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.01971	0.2615	-0.07539	0.9399	0.05403	0.08267	1.009	0.006536	0.115	0.004893	pmid24816252_tryptophan_eur	pmid24816252_threonine_eur	pmid24816252_tryptophan_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0.3406	0.0981	3.472	0.000516	0.1747	0.07338	1.031	0.007336	0.5474	0.005476	pmid24816252_tryptophan_eur	pmid24816252_tyrosine_eur	pmid24816252_tryptophan_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.08137	0.05293	1.013	0.006229	0.09316	0.004167	pmid24816252_tryptophan_eur	pmid24816252_urea_eur	pmid24816252_tryptophan_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	-0.1099	0.07691	-1.429	0.1531	0.2309	0.04658	1.069	0.00867	0.004277	0.005095	pmid24816252_tryptophan_eur	pmid27386562_MS_eur	pmid24816252_tryptophan_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.03081	0.1089	0.2828	0.7773	0.04137	0.01302	1.002	0.006815	-9.057e-05	0.005193	pmid24816252_tryptophan_eur	pmid27455348_ALS_eur	pmid24816252_tryptophan_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid24816252_tryptophan_eur	pmid27989323_CTACK_eur	pmid24816252_tryptophan_eur/pmid27989323_CTACK_eur	ldsc
