p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	1	2.009e-06	4.977e+05	0	0.1747	0.07338	1.031	0.007336	1.031	0.007336	pmid24816252_tyrosine_eur	pmid24816252_tyrosine_eur	pmid24816252_tyrosine_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.1142	0.354	-0.3226	0.747	0.0653	0.02799	1.054	0.009029	0.002913	0.005555	pmid24816252_tyrosine_eur	pmid21833088_MS_eur	pmid24816252_tyrosine_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.1852	0.9322	-0.1986	0.8425	1.525	0.2708	1.031	0.09023	0.02716	0.01965	pmid24816252_tyrosine_eur	pmid24076602_MS_eur	pmid24816252_tyrosine_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2399	0.08232	1.021	0.007636	0.004925	0.004346	pmid24816252_tyrosine_eur	pmid24816252_acetylcarnitine_eur	pmid24816252_tyrosine_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.3012	0.1397	2.157	0.03103	0.5276	0.07069	1.012	0.006913	0.3101	0.004778	pmid24816252_tyrosine_eur	pmid24816252_alanine_eur	pmid24816252_tyrosine_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006049	0.06361	1.037	0.007251	0.04799	0.004167	pmid24816252_tyrosine_eur	pmid24816252_arginine_eur	pmid24816252_tyrosine_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.1495	0.1516	0.9859	0.3242	0.4987	0.06618	1.019	0.00703	0.05999	0.004756	pmid24816252_tyrosine_eur	pmid24816252_asparagine_eur	pmid24816252_tyrosine_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.478	0.34	1.406	0.1598	0.1371	0.07101	1.043	0.006758	0.04892	0.004359	pmid24816252_tyrosine_eur	pmid24816252_cholesterol_eur	pmid24816252_tyrosine_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.01171	0.1665	0.07033	0.9439	0.4515	0.07758	1.059	0.007794	-0.04326	0.004757	pmid24816252_tyrosine_eur	pmid24816252_citrate_eur	pmid24816252_tyrosine_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.1248	0.233	0.5358	0.5921	0.1583	0.05728	0.9325	0.005978	0.2086	0.004359	pmid24816252_tyrosine_eur	pmid24816252_glutamate_eur	pmid24816252_tyrosine_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1305	0.06078	1.017	0.007018	0.1324	0.00442	pmid24816252_tyrosine_eur	pmid24816252_glycerol_eur	pmid24816252_tyrosine_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.2049	0.1546	1.325	0.185	0.4424	0.07195	0.757	0.006326	0.09653	0.004098	pmid24816252_tyrosine_eur	pmid24816252_histidine_eur	pmid24816252_tyrosine_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2844	0.05918	1.001	0.006349	0.4199	0.005076	pmid24816252_tyrosine_eur	pmid24816252_isoleucine_eur	pmid24816252_tyrosine_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.5953	0.126	4.723	2.321e-06	0.3394	0.04475	0.7761	0.005172	0.4517	0.004581	pmid24816252_tyrosine_eur	pmid24816252_phenylalanine_eur	pmid24816252_tyrosine_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.4897	0.1866	2.625	0.008671	0.3879	0.08827	1.036	0.01216	0.3381	0.005585	pmid24816252_tyrosine_eur	pmid24816252_proline_eur	pmid24816252_tyrosine_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.1496	0.2836	0.5276	0.5978	0.137	0.05392	1.001	0.005646	0.09027	0.005103	pmid24816252_tyrosine_eur	pmid24816252_pyruvate_eur	pmid24816252_tyrosine_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0.3943	0.5159	0.7642	0.4447	0.05403	0.08267	1.009	0.006536	0.1236	0.004514	pmid24816252_tyrosine_eur	pmid24816252_threonine_eur	pmid24816252_tyrosine_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.3406	0.0981	3.472	0.000516	0.9201	0.07416	1.049	0.007824	0.5474	0.005476	pmid24816252_tyrosine_eur	pmid24816252_tryptophan_eur	pmid24816252_tyrosine_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.08137	0.05293	1.013	0.006229	0.1233	0.004299	pmid24816252_tyrosine_eur	pmid24816252_urea_eur	pmid24816252_tyrosine_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0.03255	0.1861	0.1749	0.8612	0.2309	0.04658	1.069	0.00867	-0.0006747	0.005191	pmid24816252_tyrosine_eur	pmid27386562_MS_eur	pmid24816252_tyrosine_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	-0.04627	0.2438	-0.1898	0.8495	0.04137	0.01302	1.002	0.006815	0.001637	0.004979	pmid24816252_tyrosine_eur	pmid27455348_ALS_eur	pmid24816252_tyrosine_eur/pmid27455348_ALS_eur	ldsc
