p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	1	2.053e-05	4.87e+04	0	0.04893	0.01285	0.9965	0.006124	0.9965	0.006124	pmid27455348_ALS_eur	pmid27455348_ALS_eur	pmid27455348_ALS_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.3886	0.3366	1.154	0.2483	0.05647	0.02761	1.058	0.008829	0.05327	0.006125	pmid27455348_ALS_eur	pmid21833088_MS_eur	pmid27455348_ALS_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.08622	0.1421	-0.6069	0.5439	1.54	0.2433	1.046	0.09914	0.006529	0.02396	pmid27455348_ALS_eur	pmid24076602_MS_eur	pmid27455348_ALS_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.242	0.08282	1.021	0.007616	-0.001572	0.004237	pmid27455348_ALS_eur	pmid24816252_acetylcarnitine_eur	pmid27455348_ALS_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.3381	0.1629	-2.075	0.03795	0.5237	0.07103	1.013	0.007037	0.000674	0.005185	pmid27455348_ALS_eur	pmid24816252_alanine_eur	pmid27455348_ALS_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.001498	0.0674	1.037	0.006973	-0.0035	0.004725	pmid27455348_ALS_eur	pmid24816252_arginine_eur	pmid27455348_ALS_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.01752	0.15	-0.1168	0.907	0.4977	0.068	1.019	0.007086	-0.004209	0.004492	pmid27455348_ALS_eur	pmid24816252_asparagine_eur	pmid27455348_ALS_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	-0.08133	0.2933	-0.2773	0.7816	0.1269	0.06768	1.044	0.006541	0.003252	0.004662	pmid27455348_ALS_eur	pmid24816252_cholesterol_eur	pmid27455348_ALS_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.2759	0.1596	-1.729	0.08379	0.4493	0.07983	1.059	0.007635	0.001627	0.004426	pmid27455348_ALS_eur	pmid24816252_citrate_eur	pmid27455348_ALS_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.2047	0.2583	0.7926	0.428	0.1533	0.05626	0.9332	0.005973	-0.001659	0.004598	pmid27455348_ALS_eur	pmid24816252_glutamate_eur	pmid27455348_ALS_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1303	0.05985	1.016	0.006902	0.01014	0.004426	pmid27455348_ALS_eur	pmid24816252_glycerol_eur	pmid27455348_ALS_eur/pmid24816252_glycerol_eur	ldsc
