p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.008627	0.1155	1.004	0.006949	1.004	0.006949	pmid27989323_CTACK_eur	pmid27989323_CTACK_eur	pmid27989323_CTACK_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05604	0.02825	1.059	0.009063	0.0008441	0.005371	pmid27989323_CTACK_eur	pmid21833088_MS_eur	pmid27989323_CTACK_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.602	0.2409	1.005	0.08308	-0.01154	0.02332	pmid27989323_CTACK_eur	pmid24076602_MS_eur	pmid27989323_CTACK_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.235	0.0831	1.02	0.007571	-0.008373	0.005087	pmid27989323_CTACK_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_CTACK_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_CTACK_eur	pmid24816252_alanine_eur	pmid27989323_CTACK_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.007985	0.06353	1.038	0.007158	0.001003	0.004476	pmid27989323_CTACK_eur	pmid24816252_arginine_eur	pmid27989323_CTACK_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_CTACK_eur	pmid24816252_asparagine_eur	pmid27989323_CTACK_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_CTACK_eur	pmid24816252_cholesterol_eur	pmid27989323_CTACK_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_CTACK_eur	pmid24816252_citrate_eur	pmid27989323_CTACK_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_CTACK_eur	pmid24816252_glutamate_eur	pmid27989323_CTACK_eur/pmid24816252_glutamate_eur	ldsc
