p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	1	1.316e-07	7.598e+06	0	0.02235	0.06155	1.007	0.007936	1.007	0.007936	pmid27989323_GCSF_eur	pmid27989323_GCSF_eur	pmid27989323_GCSF_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05612	0.02818	1.059	0.008948	-0.00165	0.005186	pmid27989323_GCSF_eur	pmid21833088_MS_eur	pmid27989323_GCSF_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.1114	0.2107	-0.5289	0.5969	1.588	0.2423	1.012	0.08692	0.0173	0.0232	pmid27989323_GCSF_eur	pmid24076602_MS_eur	pmid27989323_GCSF_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2342	0.08316	1.02	0.007578	-0.0009921	0.004284	pmid27989323_GCSF_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_GCSF_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.617	1.11	0.556	0.5782	0.5268	0.07023	1.012	0.007095	-0.004349	0.004749	pmid27989323_GCSF_eur	pmid24816252_alanine_eur	pmid27989323_GCSF_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.003896	0.06385	1.037	0.007194	-0.01092	0.004619	pmid27989323_GCSF_eur	pmid24816252_arginine_eur	pmid27989323_GCSF_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.6841	1.218	0.5617	0.5743	0.4983	0.06673	1.019	0.00726	-0.009305	0.004544	pmid27989323_GCSF_eur	pmid24816252_asparagine_eur	pmid27989323_GCSF_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.9642	1.881	0.5127	0.6081	0.1323	0.06772	1.044	0.006503	-0.00779	0.004873	pmid27989323_GCSF_eur	pmid24816252_cholesterol_eur	pmid27989323_GCSF_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.3483	0.7419	0.4695	0.6387	0.4507	0.08006	1.059	0.00827	-0.004387	0.004439	pmid27989323_GCSF_eur	pmid24816252_citrate_eur	pmid27989323_GCSF_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	1.002	1.857	0.5394	0.5896	0.1622	0.05693	0.9319	0.005857	-0.006269	0.004315	pmid27989323_GCSF_eur	pmid24816252_glutamate_eur	pmid27989323_GCSF_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1275	0.06046	1.016	0.006956	-0.004055	0.004499	pmid27989323_GCSF_eur	pmid24816252_glycerol_eur	pmid27989323_GCSF_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.2269	0.5222	-0.4345	0.6639	0.4327	0.06942	0.7584	0.00614	0.0003679	0.004	pmid27989323_GCSF_eur	pmid24816252_histidine_eur	pmid27989323_GCSF_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2797	0.05866	0.9998	0.006417	-0.009298	0.004659	pmid27989323_GCSF_eur	pmid24816252_isoleucine_eur	pmid27989323_GCSF_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.8457	1.492	0.567	0.5707	0.3262	0.04361	0.7779	0.005113	-0.00725	0.003776	pmid27989323_GCSF_eur	pmid24816252_phenylalanine_eur	pmid27989323_GCSF_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.8128	1.367	0.5947	0.552	0.3717	0.08965	1.038	0.01261	-0.0001141	0.004669	pmid27989323_GCSF_eur	pmid24816252_proline_eur	pmid27989323_GCSF_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.3049	0.9758	0.3124	0.7547	0.1512	0.05604	0.9988	0.005944	-0.00397	0.004471	pmid27989323_GCSF_eur	pmid24816252_pyruvate_eur	pmid27989323_GCSF_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	1.084	2.628	0.4127	0.6798	0.04495	0.08282	1.01	0.006677	0.0009097	0.004907	pmid27989323_GCSF_eur	pmid24816252_threonine_eur	pmid27989323_GCSF_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.4412	0.79	0.5585	0.5765	0.9281	0.07459	1.048	0.007943	-0.008587	0.004761	pmid27989323_GCSF_eur	pmid24816252_tryptophan_eur	pmid27989323_GCSF_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	1.346	2.335	0.5765	0.5643	0.1637	0.07112	1.033	0.007157	-0.003398	0.004384	pmid27989323_GCSF_eur	pmid24816252_tyrosine_eur	pmid27989323_GCSF_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07708	0.0529	1.012	0.006352	-0.009108	0.004878	pmid27989323_GCSF_eur	pmid24816252_urea_eur	pmid27989323_GCSF_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0.4017	0.4877	0.8236	0.4101	0.2406	0.04704	1.067	0.008839	-0.00637	0.004959	pmid27989323_GCSF_eur	pmid27386562_MS_eur	pmid27989323_GCSF_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.6991	1.58	0.4425	0.6581	0.04837	0.01276	0.9971	0.00625	-0.006175	0.004768	pmid27989323_GCSF_eur	pmid27455348_ALS_eur	pmid27989323_GCSF_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.01114	0.116	1.004	0.006966	0.06662	0.00524	pmid27989323_GCSF_eur	pmid27989323_CTACK_eur	pmid27989323_GCSF_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	0.5943	0.3179	pmid27989323_GCSF_eur	pmid27989323_GROa_eur	pmid27989323_GCSF_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02895	0.05851	1.011	0.00811	0.223	0.005362	pmid27989323_GCSF_eur	pmid27989323_HGF_eur	pmid27989323_GCSF_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_GCSF_eur	pmid27989323_IFNg_eur	pmid27989323_GCSF_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.008852	0.07983	1.019	0.0123	0.4867	0.006043	pmid27989323_GCSF_eur	pmid27989323_IL10_eur	pmid27989323_GCSF_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.0219	0.09066	1.035	0.01945	0.5595	0.006355	pmid27989323_GCSF_eur	pmid27989323_IL12p70_eur	pmid27989323_GCSF_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1718	0.1623	1.018	0.01243	0.3144	0.005548	pmid27989323_GCSF_eur	pmid27989323_IL13_eur	pmid27989323_GCSF_eur/pmid27989323_IL13_eur	ldsc
