p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	1.379	0.4774	pmid27989323_GROa_eur	pmid27989323_GROa_eur	pmid27989323_GROa_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	-0.5799	4.211	1.15	0.7416	0.08549	0.4314	pmid27989323_GROa_eur	pmid21833088_MS_eur	pmid27989323_GROa_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	-2.244	2.094	0.8249	0.7482	1.131	0.8014	pmid27989323_GROa_eur	pmid24076602_MS_eur	pmid27989323_GROa_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	4.212	35.3	2.096	1.675	-0.6439	0.9734	pmid27989323_GROa_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_GROa_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	1.374	12.1	0.7746	0.5805	0.7943	0.3894	pmid27989323_GROa_eur	pmid24816252_alanine_eur	pmid27989323_GROa_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-11.01	22.09	1.36	1.089	0.5265	0.612	pmid27989323_GROa_eur	pmid24816252_arginine_eur	pmid27989323_GROa_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	-10.87	15.73	2	0.6667	2.204	0.558	pmid27989323_GROa_eur	pmid24816252_asparagine_eur	pmid27989323_GROa_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.01178	20.86	1.12	0.9874	-0.8126	1.006	pmid27989323_GROa_eur	pmid24816252_cholesterol_eur	pmid27989323_GROa_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	-11.11	32.87	1.806	1.577	1.189	1.573	pmid27989323_GROa_eur	pmid24816252_citrate_eur	pmid27989323_GROa_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	-32.37	33.17	1.815	1.63	-0.6631	0.8646	pmid27989323_GROa_eur	pmid24816252_glutamate_eur	pmid27989323_GROa_eur/pmid24816252_glutamate_eur	ldsc
