p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02715	0.05845	1.011	0.008107	1.011	0.008113	pmid27989323_HGF_eur	pmid27989323_HGF_eur	pmid27989323_HGF_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_HGF_eur	pmid21833088_MS_eur	pmid27989323_HGF_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.58	0.2418	1.017	0.0863	-0.00672	0.01978	pmid27989323_HGF_eur	pmid24076602_MS_eur	pmid27989323_HGF_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2387	0.08285	1.021	0.007545	0.002896	0.004097	pmid27989323_HGF_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_HGF_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5277	0.07031	1.012	0.007102	0.000878	0.004837	pmid27989323_HGF_eur	pmid24816252_alanine_eur	pmid27989323_HGF_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006869	0.06392	1.038	0.007247	0.002287	0.004157	pmid27989323_HGF_eur	pmid24816252_arginine_eur	pmid27989323_HGF_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.4985	0.0669	1.019	0.007209	0.0004499	0.004892	pmid27989323_HGF_eur	pmid24816252_asparagine_eur	pmid27989323_HGF_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1328	0.06762	1.044	0.006579	-0.003675	0.005248	pmid27989323_HGF_eur	pmid24816252_cholesterol_eur	pmid27989323_HGF_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4485	0.07992	1.059	0.008273	0.002278	0.004718	pmid27989323_HGF_eur	pmid24816252_citrate_eur	pmid27989323_HGF_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1627	0.05716	0.9318	0.005889	-0.002637	0.004558	pmid27989323_HGF_eur	pmid24816252_glutamate_eur	pmid27989323_HGF_eur/pmid24816252_glutamate_eur	ldsc
