p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	1	3.429	0.2916	0.7706	0.01294	0.06219	0.999	0.007268	0.999	0.007268	pmid27989323_IFNg_eur	pmid27989323_IFNg_eur	pmid27989323_IFNg_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05687	0.02803	1.058	0.008906	0.006247	0.005677	pmid27989323_IFNg_eur	pmid21833088_MS_eur	pmid27989323_IFNg_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.1205	0.1954	-0.6167	0.5375	1.604	0.2383	1.002	0.08198	0.03211	0.02311	pmid27989323_IFNg_eur	pmid24076602_MS_eur	pmid27989323_IFNg_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.237	0.08314	1.02	0.007568	-0.001803	0.004424	pmid27989323_IFNg_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_IFNg_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_alanine_eur	pmid27989323_IFNg_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006676	0.06368	1.038	0.007161	-0.004934	0.004766	pmid27989323_IFNg_eur	pmid24816252_arginine_eur	pmid27989323_IFNg_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_asparagine_eur	pmid27989323_IFNg_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_cholesterol_eur	pmid27989323_IFNg_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_citrate_eur	pmid27989323_IFNg_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_glutamate_eur	pmid27989323_IFNg_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1269	0.06044	1.016	0.00692	-0.001258	0.004306	pmid27989323_IFNg_eur	pmid24816252_glycerol_eur	pmid27989323_IFNg_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_histidine_eur	pmid27989323_IFNg_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2771	0.05895	0.9996	0.006485	0.0002827	0.004546	pmid27989323_IFNg_eur	pmid24816252_isoleucine_eur	pmid27989323_IFNg_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_phenylalanine_eur	pmid27989323_IFNg_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_proline_eur	pmid27989323_IFNg_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_pyruvate_eur	pmid27989323_IFNg_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_threonine_eur	pmid27989323_IFNg_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_tryptophan_eur	pmid27989323_IFNg_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid24816252_tyrosine_eur	pmid27989323_IFNg_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07914	0.05301	1.013	0.006391	0.006374	0.004654	pmid27989323_IFNg_eur	pmid24816252_urea_eur	pmid27989323_IFNg_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid27386562_MS_eur	pmid27989323_IFNg_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid27455348_ALS_eur	pmid27989323_IFNg_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.01351	0.1162	1.004	0.007037	0.0086	0.005015	pmid27989323_IFNg_eur	pmid27989323_CTACK_eur	pmid27989323_IFNg_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid27989323_GCSF_eur	pmid27989323_IFNg_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	0.3958	0.4387	pmid27989323_IFNg_eur	pmid27989323_GROa_eur	pmid27989323_IFNg_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02628	0.05855	1.011	0.008069	0.2703	0.004979	pmid27989323_IFNg_eur	pmid27989323_HGF_eur	pmid27989323_IFNg_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.008123	0.07969	1.019	0.01232	0.5691	0.005748	pmid27989323_IFNg_eur	pmid27989323_IL10_eur	pmid27989323_IFNg_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.02211	0.0906	1.035	0.01947	0.6339	0.006252	pmid27989323_IFNg_eur	pmid27989323_IL12p70_eur	pmid27989323_IFNg_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1672	0.1626	1.017	0.01244	0.3399	0.005298	pmid27989323_IFNg_eur	pmid27989323_IL13_eur	pmid27989323_IFNg_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.07823	0.1283	0.9957	0.007317	0.04791	0.00507	pmid27989323_IFNg_eur	pmid27989323_IL16_eur	pmid27989323_IFNg_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-3.244	1.363	1.474	0.1348	0.9141	0.09671	pmid27989323_IFNg_eur	pmid27989323_IL17_eur	pmid27989323_IFNg_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid27989323_IL18_eur	pmid27989323_IFNg_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid27989323_IL1ra_eur	pmid27989323_IFNg_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.08548	0.1305	1.013	0.007144	0.3578	0.005272	pmid27989323_IFNg_eur	pmid27989323_IL2_eur	pmid27989323_IFNg_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid27989323_IL2ra_eur	pmid27989323_IFNg_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.03868	0.06006	1.011	0.007984	0.6887	0.006838	pmid27989323_IFNg_eur	pmid27989323_IL4_eur	pmid27989323_IFNg_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL5_eur.sumstats.gz	0	NA	NA	NA	-0.1235	0.1357	1.012	0.00741	0.3082	0.005285	pmid27989323_IFNg_eur	pmid27989323_IL5_eur	pmid27989323_IFNg_eur/pmid27989323_IL5_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL6_eur.sumstats.gz	0	NA	NA	NA	-0.002486	0.05645	1.009	0.00699	0.661	0.006539	pmid27989323_IFNg_eur	pmid27989323_IL6_eur	pmid27989323_IFNg_eur/pmid27989323_IL6_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL7_eur.sumstats.gz	0	NA	NA	NA	-0.03841	0.157	1.013	0.008862	0.297	0.005315	pmid27989323_IFNg_eur	pmid27989323_IL7_eur	pmid27989323_IFNg_eur/pmid27989323_IL7_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL8_eur.sumstats.gz	0	NA	NA	NA	-0.03002	0.1264	1.008	0.006759	0.2988	0.005396	pmid27989323_IFNg_eur	pmid27989323_IL8_eur	pmid27989323_IFNg_eur/pmid27989323_IL8_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL9_eur.sumstats.gz	0	NA	NA	NA	-0.1717	0.125	1.014	0.007034	0.3162	0.005909	pmid27989323_IFNg_eur	pmid27989323_IL9_eur	pmid27989323_IFNg_eur/pmid27989323_IL9_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IFNg_eur	pmid27989323_MCP1_eur	pmid27989323_IFNg_eur/pmid27989323_MCP1_eur	ldsc
../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP3_eur.sumstats.gz	0	NA	NA	NA	-0.8823	0.5676	1.014	0.007726	0.0865	0.005235	pmid27989323_IFNg_eur	pmid27989323_MCP3_eur	pmid27989323_IFNg_eur/pmid27989323_MCP3_eur	ldsc
