p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.01973	0.09035	1.034	0.01937	1.034	0.01935	pmid27989323_IL12p70_eur	pmid27989323_IL12p70_eur	pmid27989323_IL12p70_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05692	0.02814	1.058	0.009007	0.0102	0.006404	pmid27989323_IL12p70_eur	pmid21833088_MS_eur	pmid27989323_IL12p70_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.4517	0.5402	-0.8363	0.403	1.603	0.2425	1.004	0.08337	0.03314	0.02397	pmid27989323_IL12p70_eur	pmid24076602_MS_eur	pmid27989323_IL12p70_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2383	0.08325	1.021	0.007567	-0.001918	0.004426	pmid27989323_IL12p70_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_IL12p70_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5273	0.07072	1.012	0.007116	0.001191	0.004795	pmid27989323_IL12p70_eur	pmid24816252_alanine_eur	pmid27989323_IL12p70_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.009582	0.06343	1.038	0.007135	-0.009774	0.004601	pmid27989323_IL12p70_eur	pmid24816252_arginine_eur	pmid27989323_IL12p70_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.4984	0.06666	1.019	0.00725	-0.01237	0.005124	pmid27989323_IL12p70_eur	pmid24816252_asparagine_eur	pmid27989323_IL12p70_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1302	0.06767	1.044	0.006555	-0.00849	0.005133	pmid27989323_IL12p70_eur	pmid24816252_cholesterol_eur	pmid27989323_IL12p70_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4492	0.07976	1.059	0.008225	-0.003215	0.004846	pmid27989323_IL12p70_eur	pmid24816252_citrate_eur	pmid27989323_IL12p70_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1634	0.05692	0.9317	0.005884	0.0001121	0.004412	pmid27989323_IL12p70_eur	pmid24816252_glutamate_eur	pmid27989323_IL12p70_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1296	0.06055	1.016	0.006936	0.0008381	0.004726	pmid27989323_IL12p70_eur	pmid24816252_glycerol_eur	pmid27989323_IL12p70_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	0.4328	0.06914	0.7584	0.006102	-0.006037	0.003828	pmid27989323_IL12p70_eur	pmid24816252_histidine_eur	pmid27989323_IL12p70_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2802	0.05877	0.9999	0.006464	-0.002532	0.004412	pmid27989323_IL12p70_eur	pmid24816252_isoleucine_eur	pmid27989323_IL12p70_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0	NA	NA	NA	0.3279	0.04341	0.7777	0.005107	-0.005322	0.003821	pmid27989323_IL12p70_eur	pmid24816252_phenylalanine_eur	pmid27989323_IL12p70_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0	NA	NA	NA	0.3735	0.08955	1.038	0.01259	0.005639	0.005099	pmid27989323_IL12p70_eur	pmid24816252_proline_eur	pmid27989323_IL12p70_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0	NA	NA	NA	0.152	0.05613	0.9987	0.005957	0.003578	0.005351	pmid27989323_IL12p70_eur	pmid24816252_pyruvate_eur	pmid27989323_IL12p70_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0	NA	NA	NA	0.0516	0.08367	1.009	0.006705	-0.006597	0.004631	pmid27989323_IL12p70_eur	pmid24816252_threonine_eur	pmid27989323_IL12p70_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0	NA	NA	NA	0.9286	0.07523	1.048	0.007973	-0.009643	0.005057	pmid27989323_IL12p70_eur	pmid24816252_tryptophan_eur	pmid27989323_IL12p70_eur/pmid24816252_tryptophan_eur	ldsc
