p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	1	7.604e-06	1.315e+05	0	0.06346	0.1183	1.003	0.006653	1.003	0.006653	pmid27989323_IL2ra_eur	pmid27989323_IL2ra_eur	pmid27989323_IL2ra_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IL2ra_eur	pmid21833088_MS_eur	pmid27989323_IL2ra_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.6	0.24	1.007	0.08321	0.02953	0.02338	pmid27989323_IL2ra_eur	pmid24076602_MS_eur	pmid27989323_IL2ra_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2349	0.08296	1.02	0.00758	5.808e-05	0.004434	pmid27989323_IL2ra_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_IL2ra_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.04068	0.7099	0.05731	0.9543	0.5276	0.07095	1.012	0.007199	-0.001701	0.004778	pmid27989323_IL2ra_eur	pmid24816252_alanine_eur	pmid27989323_IL2ra_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006475	0.06398	1.038	0.007245	0.002682	0.004628	pmid27989323_IL2ra_eur	pmid24816252_arginine_eur	pmid27989323_IL2ra_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.7601	3.907	0.1946	0.8457	0.497	0.06707	1.019	0.007281	-0.01134	0.004313	pmid27989323_IL2ra_eur	pmid24816252_asparagine_eur	pmid27989323_IL2ra_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	-0.2981	1.987	-0.15	0.8807	0.1347	0.06756	1.044	0.006607	0.004315	0.004737	pmid27989323_IL2ra_eur	pmid24816252_cholesterol_eur	pmid27989323_IL2ra_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.4	2.267	-0.1764	0.86	0.4505	0.07975	1.059	0.008262	0.003928	0.004772	pmid27989323_IL2ra_eur	pmid24816252_citrate_eur	pmid27989323_IL2ra_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.1049	1.128	-0.09301	0.9259	0.1607	0.05678	0.9321	0.00587	-0.001932	0.0043	pmid27989323_IL2ra_eur	pmid24816252_glutamate_eur	pmid27989323_IL2ra_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1301	0.06056	1.016	0.006919	0.004791	0.004618	pmid27989323_IL2ra_eur	pmid24816252_glycerol_eur	pmid27989323_IL2ra_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.5189	2.675	0.194	0.8462	0.4296	0.06941	0.7589	0.006161	-0.003592	0.003767	pmid27989323_IL2ra_eur	pmid24816252_histidine_eur	pmid27989323_IL2ra_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2789	0.05866	0.9998	0.006461	0.0006152	0.004409	pmid27989323_IL2ra_eur	pmid24816252_isoleucine_eur	pmid27989323_IL2ra_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.168	1.123	0.1496	0.8811	0.3286	0.04351	0.7776	0.005098	0.001151	0.00394	pmid27989323_IL2ra_eur	pmid24816252_phenylalanine_eur	pmid27989323_IL2ra_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.06126	0.7637	0.0802	0.9361	0.3722	0.09012	1.038	0.01267	0.003726	0.004629	pmid27989323_IL2ra_eur	pmid24816252_proline_eur	pmid27989323_IL2ra_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	-0.2359	1.608	-0.1467	0.8834	0.151	0.05604	0.9989	0.006023	-0.003268	0.004543	pmid27989323_IL2ra_eur	pmid24816252_pyruvate_eur	pmid27989323_IL2ra_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.8677	6.62	-0.1311	0.8957	0.05166	0.08329	1.009	0.0067	-0.001577	0.004109	pmid27989323_IL2ra_eur	pmid24816252_threonine_eur	pmid27989323_IL2ra_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	-0.1005	0.8456	-0.1188	0.9054	0.9216	0.07456	1.049	0.00793	-0.001579	0.005091	pmid27989323_IL2ra_eur	pmid24816252_tryptophan_eur	pmid27989323_IL2ra_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0.08662	1.016	0.08525	0.9321	0.1675	0.07118	1.032	0.007207	0.002392	0.004748	pmid27989323_IL2ra_eur	pmid24816252_tyrosine_eur	pmid27989323_IL2ra_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07898	0.05295	1.012	0.00637	0.00199	0.004338	pmid27989323_IL2ra_eur	pmid24816252_urea_eur	pmid27989323_IL2ra_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_IL2ra_eur	pmid27386562_MS_eur	pmid27989323_IL2ra_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.8305	0.8768	0.9471	0.3436	0.04713	0.01272	0.998	0.006355	-0.005379	0.00475	pmid27989323_IL2ra_eur	pmid27455348_ALS_eur	pmid27989323_IL2ra_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.01755	0.1155	1.005	0.006942	0.1125	0.005661	pmid27989323_IL2ra_eur	pmid27989323_CTACK_eur	pmid27989323_IL2ra_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0.7215	1.897	0.3804	0.7037	0.02062	0.06146	1.008	0.007964	0.121	0.005143	pmid27989323_IL2ra_eur	pmid27989323_GCSF_eur	pmid27989323_IL2ra_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	0.1968	0.5904	pmid27989323_IL2ra_eur	pmid27989323_GROa_eur	pmid27989323_IL2ra_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02324	0.05842	1.01	0.007892	0.1909	0.005021	pmid27989323_IL2ra_eur	pmid27989323_HGF_eur	pmid27989323_IL2ra_eur/pmid27989323_HGF_eur	ldsc
