p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-3.9658e-02	0.0599	1.0100	0.0079	1.0099	0.0079	pmid27989323_IL4_eur	pmid27989323_IL4_eur	pmid27989323_IL4_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	5.5891e-02	0.0282	1.0590	0.0090	0.0072	0.0055	pmid27989323_IL4_eur	pmid21833088_MS_eur	pmid27989323_IL4_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.2465	0.1892	-1.303	0.1927	1.6008e+00	0.2398	1.0057	0.0824	0.0409	0.0252	pmid27989323_IL4_eur	pmid24076602_MS_eur	pmid27989323_IL4_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-2.3706e-01	0.0832	1.0203	0.0076	-0.0060	0.0046	pmid27989323_IL4_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_IL4_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	5.2410e-01	0.0703	1.0120	0.0072	-0.0006	0.0049	pmid27989323_IL4_eur	pmid24816252_alanine_eur	pmid27989323_IL4_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-5.6736e-03	0.0637	1.0375	0.0072	-0.0090	0.0045	pmid27989323_IL4_eur	pmid24816252_arginine_eur	pmid27989323_IL4_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	4.9887e-01	0.0669	1.0188	0.0073	-0.0053	0.0045	pmid27989323_IL4_eur	pmid24816252_asparagine_eur	pmid27989323_IL4_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	1.3193e-01	0.0675	1.0440	0.0066	-0.0080	0.0048	pmid27989323_IL4_eur	pmid24816252_cholesterol_eur	pmid27989323_IL4_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	4.4760e-01	0.0802	1.0594	0.0083	-0.0035	0.0049	pmid27989323_IL4_eur	pmid24816252_citrate_eur	pmid27989323_IL4_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	1.6296e-01	0.0570	0.9319	0.0059	-0.0037	0.0043	pmid27989323_IL4_eur	pmid24816252_glutamate_eur	pmid27989323_IL4_eur/pmid24816252_glutamate_eur	ldsc
