p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	1	2.04e-06	4.902e+05	0	0.1716	0.08261	0.9945	0.007936	0.9945	0.007936	pmid27989323_MCP1_eur	pmid27989323_MCP1_eur	pmid27989323_MCP1_eur/pmid27989323_MCP1_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.2052	0.2828	-0.7257	0.468	0.05839	0.02808	1.058	0.00898	0.002281	0.00589	pmid27989323_MCP1_eur	pmid21833088_MS_eur	pmid27989323_MCP1_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.07779	0.1049	-0.7419	0.4582	1.603	0.2421	1.004	0.08324	0.00854	0.01842	pmid27989323_MCP1_eur	pmid24076602_MS_eur	pmid27989323_MCP1_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2355	0.08294	1.02	0.00754	-0.004174	0.004548	pmid27989323_MCP1_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_MCP1_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.02831	0.1521	-0.1861	0.8524	0.5265	0.07047	1.012	0.007135	-0.001231	0.004913	pmid27989323_MCP1_eur	pmid24816252_alanine_eur	pmid27989323_MCP1_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.005806	0.06396	1.037	0.007248	0.0001744	0.004103	pmid27989323_MCP1_eur	pmid24816252_arginine_eur	pmid27989323_MCP1_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.159	0.1584	-1.004	0.3156	0.4998	0.06668	1.019	0.00725	0.005691	0.004883	pmid27989323_MCP1_eur	pmid24816252_asparagine_eur	pmid27989323_MCP1_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.1938	0.3252	0.5961	0.5511	0.1317	0.0675	1.044	0.00655	-0.003083	0.004716	pmid27989323_MCP1_eur	pmid24816252_cholesterol_eur	pmid27989323_MCP1_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.1398	0.1677	0.8336	0.4045	0.4495	0.07986	1.059	0.008232	0.002666	0.004985	pmid27989323_MCP1_eur	pmid24816252_citrate_eur	pmid27989323_MCP1_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.2409	0.2666	0.9035	0.3663	0.1621	0.05678	0.9319	0.005844	-0.003378	0.00465	pmid27989323_MCP1_eur	pmid24816252_glutamate_eur	pmid27989323_MCP1_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1281	0.06052	1.016	0.006939	-0.0003913	0.004627	pmid27989323_MCP1_eur	pmid24816252_glycerol_eur	pmid27989323_MCP1_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.07965	0.1434	-0.5554	0.5786	0.4331	0.06924	0.7583	0.006142	0.00248	0.004026	pmid27989323_MCP1_eur	pmid24816252_histidine_eur	pmid27989323_MCP1_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2765	0.05863	0.9995	0.006444	-0.0001646	0.004579	pmid27989323_MCP1_eur	pmid24816252_isoleucine_eur	pmid27989323_MCP1_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	-0.08389	0.168	-0.4994	0.6175	0.3305	0.04359	0.7773	0.005098	0.0005881	0.004037	pmid27989323_MCP1_eur	pmid24816252_phenylalanine_eur	pmid27989323_MCP1_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	-0.1363	0.1941	-0.7023	0.4825	0.3726	0.08943	1.038	0.01256	0.003247	0.004811	pmid27989323_MCP1_eur	pmid24816252_proline_eur	pmid27989323_MCP1_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	-0.122	0.2575	-0.4738	0.6356	0.1525	0.0557	0.9987	0.005925	0.002011	0.004446	pmid27989323_MCP1_eur	pmid24816252_pyruvate_eur	pmid27989323_MCP1_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.7421	0.9294	-0.7985	0.4246	0.04723	0.08299	1.01	0.00668	1.09e-05	0.00439	pmid27989323_MCP1_eur	pmid24816252_threonine_eur	pmid27989323_MCP1_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	-0.1394	0.1301	-1.072	0.2839	0.9266	0.07433	1.048	0.007925	-0.003947	0.005011	pmid27989323_MCP1_eur	pmid24816252_tryptophan_eur	pmid27989323_MCP1_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	-0.2764	0.2495	-1.108	0.2679	0.1648	0.07104	1.033	0.007177	0.00529	0.004352	pmid27989323_MCP1_eur	pmid24816252_tyrosine_eur	pmid27989323_MCP1_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07936	0.05326	1.013	0.006375	-4.31e-05	0.005043	pmid27989323_MCP1_eur	pmid24816252_urea_eur	pmid27989323_MCP1_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	-0.06034	0.1852	-0.3258	0.7446	0.2416	0.04719	1.067	0.008845	0.00266	0.005635	pmid27989323_MCP1_eur	pmid27386562_MS_eur	pmid27989323_MCP1_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	-0.1831	0.214	-0.8558	0.3921	0.04838	0.01272	0.9972	0.006275	0.003188	0.004832	pmid27989323_MCP1_eur	pmid27455348_ALS_eur	pmid27989323_MCP1_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.007902	0.1162	1.004	0.006972	0.04362	0.005471	pmid27989323_MCP1_eur	pmid27989323_CTACK_eur	pmid27989323_MCP1_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	1.107	1.625	0.6809	0.496	0.02308	0.06127	1.007	0.007901	0.2193	0.005214	pmid27989323_MCP1_eur	pmid27989323_GCSF_eur	pmid27989323_MCP1_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	0.8298	0.3814	pmid27989323_MCP1_eur	pmid27989323_GROa_eur	pmid27989323_MCP1_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.03056	0.05848	1.011	0.008103	0.3018	0.005374	pmid27989323_MCP1_eur	pmid27989323_HGF_eur	pmid27989323_MCP1_eur/pmid27989323_HGF_eur	ldsc
