p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	1	1.99	0.5026	0.6153	0.1341	0.5097	0.9909	0.006917	0.9909	0.006917	pmid27989323_MCSF_eur	pmid27989323_MCSF_eur	pmid27989323_MCSF_eur/pmid27989323_MCSF_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.06395	0.7269	0.08797	0.9299	0.05847	0.02821	1.058	0.008859	0.0003249	0.004952	pmid27989323_MCSF_eur	pmid21833088_MS_eur	pmid27989323_MCSF_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MCSF_eur	pmid24076602_MS_eur	pmid27989323_MCSF_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2357	0.08365	1.02	0.007697	-0.0002808	0.00425	pmid27989323_MCSF_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_MCSF_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.03376	0.3926	0.08599	0.9315	0.5361	0.07248	1.011	0.007299	-0.003726	0.004549	pmid27989323_MCSF_eur	pmid24816252_alanine_eur	pmid27989323_MCSF_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.008651	0.0633	1.038	0.007166	0.0008403	0.004774	pmid27989323_MCSF_eur	pmid24816252_arginine_eur	pmid27989323_MCSF_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.07322	0.393	0.1863	0.8522	0.496	0.06725	1.019	0.007293	0.005843	0.00457	pmid27989323_MCSF_eur	pmid24816252_asparagine_eur	pmid27989323_MCSF_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	-0.5711	1.235	-0.4625	0.6437	0.1303	0.06874	1.044	0.00669	0.003774	0.004942	pmid27989323_MCSF_eur	pmid24816252_cholesterol_eur	pmid27989323_MCSF_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-1.487	3.595	-0.4137	0.6791	0.4555	0.07918	1.058	0.008183	0.01324	0.004384	pmid27989323_MCSF_eur	pmid24816252_citrate_eur	pmid27989323_MCSF_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.08348	0.6662	0.1253	0.9003	0.1596	0.05697	0.9323	0.00592	-0.00568	0.00437	pmid27989323_MCSF_eur	pmid24816252_glutamate_eur	pmid27989323_MCSF_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.126	0.06116	1.015	0.006984	-0.003779	0.004908	pmid27989323_MCSF_eur	pmid24816252_glycerol_eur	pmid27989323_MCSF_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.3712	0.9107	0.4076	0.6836	0.4326	0.06956	0.7586	0.006239	0.00102	0.004014	pmid27989323_MCSF_eur	pmid24816252_histidine_eur	pmid27989323_MCSF_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2803	0.05849	0.9999	0.006445	-0.00804	0.004046	pmid27989323_MCSF_eur	pmid24816252_isoleucine_eur	pmid27989323_MCSF_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	-0.02154	0.4075	-0.05285	0.9579	0.3348	0.04411	0.7769	0.005112	-0.002225	0.004082	pmid27989323_MCSF_eur	pmid24816252_phenylalanine_eur	pmid27989323_MCSF_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	-0.1669	0.5894	-0.2831	0.7771	0.3882	0.0898	1.036	0.0126	-0.002209	0.004743	pmid27989323_MCSF_eur	pmid24816252_proline_eur	pmid27989323_MCSF_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.2348	0.8665	0.271	0.7864	0.1535	0.05546	0.9984	0.006192	-0.004631	0.004747	pmid27989323_MCSF_eur	pmid24816252_pyruvate_eur	pmid27989323_MCSF_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0.7823	2.798	0.2796	0.7798	0.05433	0.08457	1.009	0.006673	-0.01296	0.004683	pmid27989323_MCSF_eur	pmid24816252_threonine_eur	pmid27989323_MCSF_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.2867	0.6998	0.4096	0.6821	0.9188	0.07522	1.05	0.00805	-0.008378	0.005141	pmid27989323_MCSF_eur	pmid24816252_tryptophan_eur	pmid27989323_MCSF_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0.7849	1.991	0.3943	0.6934	0.1752	0.07088	1.031	0.007157	-0.00636	0.004545	pmid27989323_MCSF_eur	pmid24816252_tyrosine_eur	pmid27989323_MCSF_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07788	0.05298	1.012	0.006305	0.002661	0.004282	pmid27989323_MCSF_eur	pmid24816252_urea_eur	pmid27989323_MCSF_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MCSF_eur	pmid27386562_MS_eur	pmid27989323_MCSF_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MCSF_eur	pmid27455348_ALS_eur	pmid27989323_MCSF_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.01256	0.1148	1.004	0.00694	0.1157	0.004988	pmid27989323_MCSF_eur	pmid27989323_CTACK_eur	pmid27989323_MCSF_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MCSF_eur	pmid27989323_GCSF_eur	pmid27989323_MCSF_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	0.2257	0.4233	pmid27989323_MCSF_eur	pmid27989323_GROa_eur	pmid27989323_MCSF_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.03079	0.05956	1.012	0.00819	0.0705	0.005052	pmid27989323_MCSF_eur	pmid27989323_HGF_eur	pmid27989323_MCSF_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MCSF_eur	pmid27989323_IFNg_eur	pmid27989323_MCSF_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.01194	0.0807	1.018	0.01242	0.05037	0.005249	pmid27989323_MCSF_eur	pmid27989323_IL10_eur	pmid27989323_MCSF_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.01869	0.09061	1.033	0.0194	0.06219	0.004877	pmid27989323_MCSF_eur	pmid27989323_IL12p70_eur	pmid27989323_MCSF_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1647	0.1654	1.017	0.01259	0.08656	0.005065	pmid27989323_MCSF_eur	pmid27989323_IL13_eur	pmid27989323_MCSF_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.05979	0.1289	0.9942	0.00731	0.0517	0.005232	pmid27989323_MCSF_eur	pmid27989323_IL16_eur	pmid27989323_MCSF_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-3.228	1.345	1.474	0.1325	-0.006382	0.08862	pmid27989323_MCSF_eur	pmid27989323_IL17_eur	pmid27989323_MCSF_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MCSF_eur	pmid27989323_IL18_eur	pmid27989323_MCSF_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MCSF_eur	pmid27989323_IL1ra_eur	pmid27989323_MCSF_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.09054	0.1314	1.013	0.007142	0.07388	0.004869	pmid27989323_MCSF_eur	pmid27989323_IL2_eur	pmid27989323_MCSF_eur/pmid27989323_IL2_eur	ldsc
