p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	1	3.106e-06	3.219e+05	0	0.08525	0.1363	1.005	0.00703	1.005	0.00703	pmid27989323_MIF_eur	pmid27989323_MIF_eur	pmid27989323_MIF_eur/pmid27989323_MIF_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.04148	0.4988	-0.08316	0.9337	0.05749	0.02811	1.058	0.009038	0.002234	0.005201	pmid27989323_MIF_eur	pmid21833088_MS_eur	pmid27989323_MIF_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.6	0.2403	1.007	0.08356	0.02265	0.02048	pmid27989323_MIF_eur	pmid24076602_MS_eur	pmid27989323_MIF_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2364	0.08309	1.02	0.007581	-0.005134	0.004453	pmid27989323_MIF_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_MIF_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.07582	0.2852	-0.2659	0.7903	0.5283	0.07051	1.012	0.007161	0.0004606	0.004293	pmid27989323_MIF_eur	pmid24816252_alanine_eur	pmid27989323_MIF_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.007343	0.06378	1.038	0.007193	0.0002895	0.004728	pmid27989323_MIF_eur	pmid24816252_arginine_eur	pmid27989323_MIF_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.2822	0.3635	-0.7762	0.4376	0.4962	0.06695	1.019	0.007264	-0.00034	0.004926	pmid27989323_MIF_eur	pmid24816252_asparagine_eur	pmid27989323_MIF_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	-0.0424	0.6285	-0.06747	0.9462	0.1371	0.06766	1.043	0.006597	-0.003543	0.005169	pmid27989323_MIF_eur	pmid24816252_cholesterol_eur	pmid27989323_MIF_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.01695	0.3247	0.0522	0.9584	0.4506	0.08006	1.059	0.008271	-0.002017	0.004603	pmid27989323_MIF_eur	pmid24816252_citrate_eur	pmid27989323_MIF_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.5234	0.6177	0.8473	0.3968	0.1629	0.05695	0.9318	0.005886	-0.008656	0.004274	pmid27989323_MIF_eur	pmid24816252_glutamate_eur	pmid27989323_MIF_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1277	0.06074	1.016	0.006955	-0.004828	0.004525	pmid27989323_MIF_eur	pmid24816252_glycerol_eur	pmid27989323_MIF_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.4985	0.4359	-1.144	0.2528	0.4296	0.06945	0.7589	0.006136	0.006137	0.003664	pmid27989323_MIF_eur	pmid24816252_histidine_eur	pmid27989323_MIF_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2809	0.05915	1	0.006502	0.006206	0.004561	pmid27989323_MIF_eur	pmid24816252_isoleucine_eur	pmid27989323_MIF_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	-0.2629	0.3876	-0.6784	0.4975	0.3285	0.04371	0.7776	0.005101	0.004255	0.003801	pmid27989323_MIF_eur	pmid24816252_phenylalanine_eur	pmid27989323_MIF_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	-0.2215	0.4024	-0.5504	0.582	0.3768	0.0903	1.038	0.0127	0.006203	0.004579	pmid27989323_MIF_eur	pmid24816252_proline_eur	pmid27989323_MIF_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	-0.104	0.5325	-0.1953	0.8452	0.1506	0.0561	0.9989	0.006004	-0.005946	0.004675	pmid27989323_MIF_eur	pmid24816252_pyruvate_eur	pmid27989323_MIF_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-2.065	2.346	-0.8803	0.3787	0.04983	0.08316	1.009	0.0067	0.01573	0.004152	pmid27989323_MIF_eur	pmid24816252_threonine_eur	pmid27989323_MIF_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	-0.2727	0.2978	-0.9156	0.3599	0.9267	0.07426	1.048	0.007902	0.007236	0.004965	pmid27989323_MIF_eur	pmid24816252_tryptophan_eur	pmid27989323_MIF_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	-0.641	0.696	-0.9209	0.3571	0.1663	0.07084	1.032	0.007227	0.01285	0.004524	pmid27989323_MIF_eur	pmid24816252_tyrosine_eur	pmid27989323_MIF_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07851	0.05275	1.012	0.006323	-0.008003	0.004213	pmid27989323_MIF_eur	pmid24816252_urea_eur	pmid27989323_MIF_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0.1377	0.3063	0.4496	0.653	0.2419	0.04746	1.067	0.008921	-0.003108	0.004305	pmid27989323_MIF_eur	pmid27386562_MS_eur	pmid27989323_MIF_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.261	0.4566	0.5716	0.5676	0.0472	0.01263	0.9978	0.006282	-0.00306	0.004417	pmid27989323_MIF_eur	pmid27455348_ALS_eur	pmid27989323_MIF_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.004133	0.1158	1.004	0.006995	0.1093	0.005661	pmid27989323_MIF_eur	pmid27989323_CTACK_eur	pmid27989323_MIF_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	-0.2381	1.696	-0.1404	0.8884	0.02493	0.06143	1.007	0.007986	0.06467	0.005357	pmid27989323_MIF_eur	pmid27989323_GCSF_eur	pmid27989323_MIF_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	0.8493	0.3276	pmid27989323_MIF_eur	pmid27989323_GROa_eur	pmid27989323_MIF_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02041	0.05859	1.009	0.007937	0.1172	0.005269	pmid27989323_MIF_eur	pmid27989323_HGF_eur	pmid27989323_MIF_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MIF_eur	pmid27989323_IFNg_eur	pmid27989323_MIF_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.00667	0.07951	1.018	0.01227	0.05975	0.005312	pmid27989323_MIF_eur	pmid27989323_IL10_eur	pmid27989323_MIF_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.01685	0.08963	1.033	0.01931	0.0462	0.005632	pmid27989323_MIF_eur	pmid27989323_IL12p70_eur	pmid27989323_MIF_eur/pmid27989323_IL12p70_eur	ldsc
