p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	0	NA	NA	NA	-1.3403e-01	0.1093	1.0143	0.0064	1.0142e+00	0.0064	pmid27989323_MIG_eur	pmid27989323_MIG_eur	pmid27989323_MIG_eur/pmid27989323_MIG_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	5.5701e-02	0.0281	1.0591	0.0091	1.1151e-02	0.0055	pmid27989323_MIG_eur	pmid21833088_MS_eur	pmid27989323_MIG_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.2932	0.9655	0.3036	0.7614	1.6058e+00	0.2417	1.0022	0.0837	2.0531e-02	0.0194	pmid27989323_MIG_eur	pmid24076602_MS_eur	pmid27989323_MIG_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-2.3789e-01	0.0833	1.0204	0.0076	-3.8065e-04	0.0046	pmid27989323_MIG_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_MIG_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	5.2645e-01	0.0707	1.0118	0.0072	1.9945e-03	0.0047	pmid27989323_MIG_eur	pmid24816252_alanine_eur	pmid27989323_MIG_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-8.8048e-03	0.0632	1.0378	0.0071	-8.5294e-04	0.0048	pmid27989323_MIG_eur	pmid24816252_arginine_eur	pmid27989323_MIG_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	4.9494e-01	0.0670	1.0193	0.0073	2.2919e-03	0.0043	pmid27989323_MIG_eur	pmid24816252_asparagine_eur	pmid27989323_MIG_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	1.3174e-01	0.0676	1.0441	0.0066	-1.4628e-03	0.0047	pmid27989323_MIG_eur	pmid24816252_cholesterol_eur	pmid27989323_MIG_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	4.5206e-01	0.0801	1.0590	0.0083	2.2439e-03	0.0046	pmid27989323_MIG_eur	pmid24816252_citrate_eur	pmid27989323_MIG_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	1.6087e-01	0.0568	0.9321	0.0058	-7.1765e-03	0.0046	pmid27989323_MIG_eur	pmid24816252_glutamate_eur	pmid27989323_MIG_eur/pmid24816252_glutamate_eur	ldsc
