p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	0	NA	NA	NA	-0.1375	0.1404	1.009	0.007099	1.009	0.007106	pmid27989323_MIP1a_eur	pmid27989323_MIP1a_eur	pmid27989323_MIP1a_eur/pmid27989323_MIP1a_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.2913	1.014	-0.2873	0.7739	0.05836	0.02804	1.058	0.008979	0.004909	0.005739	pmid27989323_MIP1a_eur	pmid21833088_MS_eur	pmid27989323_MIP1a_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.597	0.24	1.008	0.08338	-0.00113	0.02142	pmid27989323_MIP1a_eur	pmid24076602_MS_eur	pmid27989323_MIP1a_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.236	0.08336	1.02	0.007628	-0.006479	0.004549	pmid27989323_MIP1a_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_MIP1a_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5292	0.07025	1.011	0.007152	-0.002501	0.004664	pmid27989323_MIP1a_eur	pmid24816252_alanine_eur	pmid27989323_MIP1a_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.00824	0.06366	1.038	0.007199	-0.002261	0.004335	pmid27989323_MIP1a_eur	pmid24816252_arginine_eur	pmid27989323_MIP1a_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.496	0.06698	1.019	0.007322	-0.005134	0.004263	pmid27989323_MIP1a_eur	pmid24816252_asparagine_eur	pmid27989323_MIP1a_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1325	0.06748	1.044	0.006612	-0.00172	0.004917	pmid27989323_MIP1a_eur	pmid24816252_cholesterol_eur	pmid27989323_MIP1a_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4487	0.07982	1.059	0.008225	-0.003078	0.004769	pmid27989323_MIP1a_eur	pmid24816252_citrate_eur	pmid27989323_MIP1a_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.163	0.05721	0.9317	0.005956	0.001276	0.004775	pmid27989323_MIP1a_eur	pmid24816252_glutamate_eur	pmid27989323_MIP1a_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1267	0.06072	1.016	0.006981	-0.0004418	0.00459	pmid27989323_MIP1a_eur	pmid24816252_glycerol_eur	pmid27989323_MIP1a_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	0.4291	0.06914	0.7589	0.006136	-0.0003505	0.003928	pmid27989323_MIP1a_eur	pmid24816252_histidine_eur	pmid27989323_MIP1a_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2775	0.05889	0.9994	0.006444	0.000454	0.004587	pmid27989323_MIP1a_eur	pmid24816252_isoleucine_eur	pmid27989323_MIP1a_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0	NA	NA	NA	0.3238	0.04359	0.7783	0.005117	-0.007765	0.003702	pmid27989323_MIP1a_eur	pmid24816252_phenylalanine_eur	pmid27989323_MIP1a_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0	NA	NA	NA	0.3694	0.08956	1.039	0.01268	0.001662	0.004245	pmid27989323_MIP1a_eur	pmid24816252_proline_eur	pmid27989323_MIP1a_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0	NA	NA	NA	0.153	0.05579	0.9986	0.005982	-0.0006091	0.004629	pmid27989323_MIP1a_eur	pmid24816252_pyruvate_eur	pmid27989323_MIP1a_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0	NA	NA	NA	0.04768	0.08449	1.01	0.006825	0.001833	0.004921	pmid27989323_MIP1a_eur	pmid24816252_threonine_eur	pmid27989323_MIP1a_eur/pmid24816252_threonine_eur	ldsc
