p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	1	1.99	0.5025	0.6153	0.2191	0.2763	1.019	0.02949	1.019	0.02949	pmid27989323_MIP1b_eur	pmid27989323_MIP1b_eur	pmid27989323_MIP1b_eur/pmid27989323_MIP1b_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MIP1b_eur	pmid21833088_MS_eur	pmid27989323_MIP1b_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.04415	0.04947	-0.8925	0.3721	1.589	0.2441	1.012	0.08722	0.006047	0.02148	pmid27989323_MIP1b_eur	pmid24076602_MS_eur	pmid27989323_MIP1b_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2367	0.08316	1.02	0.007585	-0.001175	0.004537	pmid27989323_MIP1b_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_MIP1b_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MIP1b_eur	pmid24816252_alanine_eur	pmid27989323_MIP1b_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006689	0.06391	1.038	0.007257	-0.005211	0.004585	pmid27989323_MIP1b_eur	pmid24816252_arginine_eur	pmid27989323_MIP1b_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MIP1b_eur	pmid24816252_asparagine_eur	pmid27989323_MIP1b_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MIP1b_eur	pmid24816252_cholesterol_eur	pmid27989323_MIP1b_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MIP1b_eur	pmid24816252_citrate_eur	pmid27989323_MIP1b_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_MIP1b_eur	pmid24816252_glutamate_eur	pmid27989323_MIP1b_eur/pmid24816252_glutamate_eur	ldsc
