p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	0	NA	NA	NA	-0.00594	0.06229	1.022	0.008586	1.022	0.008587	pmid27989323_PDGFbb_eur	pmid27989323_PDGFbb_eur	pmid27989323_PDGFbb_eur/pmid27989323_PDGFbb_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05705	0.02823	1.059	0.009079	0.007129	0.005976	pmid27989323_PDGFbb_eur	pmid21833088_MS_eur	pmid27989323_PDGFbb_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_PDGFbb_eur	pmid24076602_MS_eur	pmid27989323_PDGFbb_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2398	0.08323	1.021	0.0076	-0.00569	0.004457	pmid27989323_PDGFbb_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_PDGFbb_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5267	0.07037	1.012	0.007124	-0.001562	0.004853	pmid27989323_PDGFbb_eur	pmid24816252_alanine_eur	pmid27989323_PDGFbb_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006801	0.0638	1.038	0.007201	-0.01177	0.004792	pmid27989323_PDGFbb_eur	pmid24816252_arginine_eur	pmid27989323_PDGFbb_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.4975	0.06673	1.019	0.007243	-0.008931	0.004976	pmid27989323_PDGFbb_eur	pmid24816252_asparagine_eur	pmid27989323_PDGFbb_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1333	0.06774	1.044	0.006584	0.002642	0.004712	pmid27989323_PDGFbb_eur	pmid24816252_cholesterol_eur	pmid27989323_PDGFbb_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4506	0.07983	1.059	0.008284	-0.007519	0.004679	pmid27989323_PDGFbb_eur	pmid24816252_citrate_eur	pmid27989323_PDGFbb_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1612	0.0571	0.9321	0.005902	0.0008189	0.004362	pmid27989323_PDGFbb_eur	pmid24816252_glutamate_eur	pmid27989323_PDGFbb_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1276	0.06048	1.016	0.006931	0.0002449	0.004716	pmid27989323_PDGFbb_eur	pmid24816252_glycerol_eur	pmid27989323_PDGFbb_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	0.435	0.06952	0.7582	0.006186	-0.001727	0.004024	pmid27989323_PDGFbb_eur	pmid24816252_histidine_eur	pmid27989323_PDGFbb_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2798	0.05867	1	0.006461	-0.001929	0.004743	pmid27989323_PDGFbb_eur	pmid24816252_isoleucine_eur	pmid27989323_PDGFbb_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0	NA	NA	NA	0.3298	0.04359	0.7775	0.005117	0.0009014	0.00415	pmid27989323_PDGFbb_eur	pmid24816252_phenylalanine_eur	pmid27989323_PDGFbb_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0	NA	NA	NA	0.3725	0.08941	1.038	0.01257	0.006631	0.005148	pmid27989323_PDGFbb_eur	pmid24816252_proline_eur	pmid27989323_PDGFbb_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0	NA	NA	NA	0.1509	0.05593	0.9989	0.005916	-0.001353	0.00462	pmid27989323_PDGFbb_eur	pmid24816252_pyruvate_eur	pmid27989323_PDGFbb_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0	NA	NA	NA	0.04341	0.08348	1.01	0.00672	-0.002082	0.004509	pmid27989323_PDGFbb_eur	pmid24816252_threonine_eur	pmid27989323_PDGFbb_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0	NA	NA	NA	0.9283	0.07473	1.048	0.00798	-0.005433	0.004473	pmid27989323_PDGFbb_eur	pmid24816252_tryptophan_eur	pmid27989323_PDGFbb_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0	NA	NA	NA	0.168	0.07087	1.032	0.007172	0.002639	0.004453	pmid27989323_PDGFbb_eur	pmid24816252_tyrosine_eur	pmid27989323_PDGFbb_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.08013	0.05288	1.013	0.00637	0.003435	0.004738	pmid27989323_PDGFbb_eur	pmid24816252_urea_eur	pmid27989323_PDGFbb_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0	NA	NA	NA	0.2398	0.04708	1.067	0.008854	0.002481	0.004945	pmid27989323_PDGFbb_eur	pmid27386562_MS_eur	pmid27989323_PDGFbb_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0	NA	NA	NA	0.04762	0.01276	0.9976	0.006256	-0.007078	0.004756	pmid27989323_PDGFbb_eur	pmid27455348_ALS_eur	pmid27989323_PDGFbb_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.005965	0.1161	1.004	0.006999	0.01349	0.005725	pmid27989323_PDGFbb_eur	pmid27989323_CTACK_eur	pmid27989323_PDGFbb_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0	NA	NA	NA	0.02284	0.06168	1.008	0.007957	0.5138	0.006291	pmid27989323_PDGFbb_eur	pmid27989323_GCSF_eur	pmid27989323_PDGFbb_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	0.402	0.2053	pmid27989323_PDGFbb_eur	pmid27989323_GROa_eur	pmid27989323_PDGFbb_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02874	0.05859	1.011	0.008124	0.2671	0.005507	pmid27989323_PDGFbb_eur	pmid27989323_HGF_eur	pmid27989323_PDGFbb_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	0.01276	0.06234	0.9996	0.007327	0.5431	0.005719	pmid27989323_PDGFbb_eur	pmid27989323_IFNg_eur	pmid27989323_PDGFbb_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.007905	0.0791	1.018	0.01222	0.4455	0.005849	pmid27989323_PDGFbb_eur	pmid27989323_IL10_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.01803	0.08969	1.034	0.01932	0.5633	0.005868	pmid27989323_PDGFbb_eur	pmid27989323_IL12p70_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1644	0.1629	1.017	0.01246	0.2151	0.005071	pmid27989323_PDGFbb_eur	pmid27989323_IL13_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.07798	0.1282	0.9955	0.007291	0.05179	0.005106	pmid27989323_PDGFbb_eur	pmid27989323_IL16_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-3.183	1.442	1.474	0.1432	1.007	0.1226	pmid27989323_PDGFbb_eur	pmid27989323_IL17_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_PDGFbb_eur	pmid27989323_IL18_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0	NA	NA	NA	0.01822	0.1439	1.007	0.008016	0.208	0.00537	pmid27989323_PDGFbb_eur	pmid27989323_IL1ra_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.09292	0.13	1.014	0.007119	0.2396	0.005235	pmid27989323_PDGFbb_eur	pmid27989323_IL2_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0	NA	NA	NA	0.06489	0.1193	1.003	0.006665	0.05902	0.00572	pmid27989323_PDGFbb_eur	pmid27989323_IL2ra_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.03759	0.06014	1.011	0.007952	0.6845	0.006683	pmid27989323_PDGFbb_eur	pmid27989323_IL4_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL5_eur.sumstats.gz	0	NA	NA	NA	-0.1258	0.137	1.012	0.007409	0.184	0.004924	pmid27989323_PDGFbb_eur	pmid27989323_IL5_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL5_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL6_eur.sumstats.gz	0	NA	NA	NA	-0.002603	0.05657	1.008	0.006962	0.5159	0.005895	pmid27989323_PDGFbb_eur	pmid27989323_IL6_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL6_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL7_eur.sumstats.gz	0	NA	NA	NA	-0.04182	0.1569	1.013	0.008914	0.2149	0.005174	pmid27989323_PDGFbb_eur	pmid27989323_IL7_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL7_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL8_eur.sumstats.gz	0	NA	NA	NA	-0.02666	0.1272	1.008	0.006783	0.2779	0.005648	pmid27989323_PDGFbb_eur	pmid27989323_IL8_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL8_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL9_eur.sumstats.gz	0	NA	NA	NA	-0.1686	0.1252	1.013	0.007048	0.1883	0.005348	pmid27989323_PDGFbb_eur	pmid27989323_IL9_eur	pmid27989323_PDGFbb_eur/pmid27989323_IL9_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	0	NA	NA	NA	0.173	0.08234	0.9944	0.007999	0.1497	0.005785	pmid27989323_PDGFbb_eur	pmid27989323_MCP1_eur	pmid27989323_PDGFbb_eur/pmid27989323_MCP1_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP3_eur.sumstats.gz	0	NA	NA	NA	-0.8516	0.5703	1.014	0.007757	0.03485	0.00543	pmid27989323_PDGFbb_eur	pmid27989323_MCP3_eur	pmid27989323_PDGFbb_eur/pmid27989323_MCP3_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	0	NA	NA	NA	0.1079	0.5017	0.9914	0.006975	0.04467	0.005402	pmid27989323_PDGFbb_eur	pmid27989323_MCSF_eur	pmid27989323_PDGFbb_eur/pmid27989323_MCSF_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	0	NA	NA	NA	0.08168	0.1371	1.005	0.007003	0.04153	0.006242	pmid27989323_PDGFbb_eur	pmid27989323_MIF_eur	pmid27989323_PDGFbb_eur/pmid27989323_MIF_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	0	NA	NA	NA	-0.1341	0.1094	1.014	0.006398	0.0518	0.005687	pmid27989323_PDGFbb_eur	pmid27989323_MIG_eur	pmid27989323_PDGFbb_eur/pmid27989323_MIG_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	0	NA	NA	NA	-0.138	0.1409	1.009	0.007128	0.2319	0.005284	pmid27989323_PDGFbb_eur	pmid27989323_MIP1a_eur	pmid27989323_PDGFbb_eur/pmid27989323_MIP1a_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	0	NA	NA	NA	0.2186	0.2766	1.019	0.02955	0.3574	0.006206	pmid27989323_PDGFbb_eur	pmid27989323_MIP1b_eur	pmid27989323_PDGFbb_eur/pmid27989323_MIP1b_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	0	NA	NA	NA	0.1246	0.1267	0.9997	0.00671	0.221	0.005326	pmid27989323_PDGFbb_eur	pmid27989323_RANTES_eur	pmid27989323_PDGFbb_eur/pmid27989323_RANTES_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	0	NA	NA	NA	-0.05559	0.05598	1.018	0.007164	0.09905	0.005157	pmid27989323_PDGFbb_eur	pmid27989323_SCF_eur	pmid27989323_PDGFbb_eur/pmid27989323_SCF_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	0	NA	NA	NA	0.0911	0.1784	1.012	0.009922	0.123	0.008129	pmid27989323_PDGFbb_eur	pmid27989323_SCGFb_eur	pmid27989323_PDGFbb_eur/pmid27989323_SCGFb_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	0	NA	NA	NA	-0.009045	0.07558	0.999	0.007124	0.5264	0.005711	pmid27989323_PDGFbb_eur	pmid27989323_SDF1_eur	pmid27989323_PDGFbb_eur/pmid27989323_SDF1_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	0	NA	NA	NA	-0.05741	0.134	0.9979	0.006954	0.2127	0.00451	pmid27989323_PDGFbb_eur	pmid27989323_TNFa_eur	pmid27989323_PDGFbb_eur/pmid27989323_TNFa_eur	ldsc
../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	0	NA	NA	NA	-0.4539	0.3088	1.011	0.007558	0.03037	0.005924	pmid27989323_PDGFbb_eur	pmid27989323_TNFb_eur	pmid27989323_PDGFbb_eur/pmid27989323_TNFb_eur	ldsc
