p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	1	9.346e-08	1.07e+07	0	0.1262	0.1262	0.9994	0.006698	0.9994	0.006698	pmid27989323_RANTES_eur	pmid27989323_RANTES_eur	pmid27989323_RANTES_eur/pmid27989323_RANTES_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.8025	1.304	-0.6156	0.5381	0.05597	0.02822	1.059	0.008988	0.01434	0.005395	pmid27989323_RANTES_eur	pmid21833088_MS_eur	pmid27989323_RANTES_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.08106	0.1458	-0.556	0.5782	1.605	0.2408	1.003	0.08339	0.03142	0.02361	pmid27989323_RANTES_eur	pmid24076602_MS_eur	pmid27989323_RANTES_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2339	0.08318	1.02	0.007566	-0.0004859	0.004243	pmid27989323_RANTES_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_RANTES_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.1668	0.2677	-0.6229	0.5333	0.5268	0.07084	1.012	0.007205	0.001592	0.004306	pmid27989323_RANTES_eur	pmid24816252_alanine_eur	pmid27989323_RANTES_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.01015	0.06327	1.038	0.007088	-0.01013	0.005307	pmid27989323_RANTES_eur	pmid24816252_arginine_eur	pmid27989323_RANTES_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.2453	0.2801	0.8755	0.3813	0.4956	0.06683	1.019	0.007268	-0.007497	0.004709	pmid27989323_RANTES_eur	pmid24816252_asparagine_eur	pmid27989323_RANTES_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	-0.4928	0.5625	-0.8761	0.381	0.1346	0.06763	1.044	0.006659	0.005529	0.004712	pmid27989323_RANTES_eur	pmid24816252_cholesterol_eur	pmid27989323_RANTES_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.2869	0.32	-0.8965	0.37	0.4487	0.07983	1.059	0.00828	0.004341	0.004854	pmid27989323_RANTES_eur	pmid24816252_citrate_eur	pmid27989323_RANTES_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.04385	0.4264	-0.1028	0.9181	0.1609	0.05703	0.9321	0.005875	0.002747	0.004627	pmid27989323_RANTES_eur	pmid24816252_glutamate_eur	pmid27989323_RANTES_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.129	0.06059	1.016	0.006943	0.001553	0.004937	pmid27989323_RANTES_eur	pmid24816252_glycerol_eur	pmid27989323_RANTES_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.1589	0.2499	-0.6357	0.525	0.4278	0.06959	0.7591	0.006141	-0.002162	0.003985	pmid27989323_RANTES_eur	pmid24816252_histidine_eur	pmid27989323_RANTES_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2798	0.05858	0.9999	0.006454	0.005183	0.004544	pmid27989323_RANTES_eur	pmid24816252_isoleucine_eur	pmid27989323_RANTES_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	-0.2989	0.3198	-0.9346	0.35	0.3244	0.04342	0.7782	0.005076	0.003701	0.00407	pmid27989323_RANTES_eur	pmid24816252_phenylalanine_eur	pmid27989323_RANTES_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.1078	0.3243	0.3323	0.7397	0.3741	0.09002	1.038	0.01268	-0.004868	0.004727	pmid27989323_RANTES_eur	pmid24816252_proline_eur	pmid27989323_RANTES_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	-0.09095	0.4759	-0.1911	0.8484	0.1537	0.05615	0.9985	0.006001	0.0007438	0.004493	pmid27989323_RANTES_eur	pmid24816252_pyruvate_eur	pmid27989323_RANTES_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.4622	1.024	-0.4514	0.6517	0.05006	0.08297	1.009	0.006755	0.001651	0.004353	pmid27989323_RANTES_eur	pmid24816252_threonine_eur	pmid27989323_RANTES_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	-0.05133	0.1885	-0.2723	0.7854	0.9259	0.07429	1.048	0.007955	-0.003183	0.004012	pmid27989323_RANTES_eur	pmid24816252_tryptophan_eur	pmid27989323_RANTES_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	-0.3259	0.463	-0.7039	0.4815	0.1644	0.07099	1.033	0.007252	0.001144	0.004716	pmid27989323_RANTES_eur	pmid24816252_tyrosine_eur	pmid27989323_RANTES_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.0748	0.05233	1.012	0.00626	0.003483	0.004817	pmid27989323_RANTES_eur	pmid24816252_urea_eur	pmid27989323_RANTES_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0.06789	0.2314	0.2933	0.7693	0.2406	0.0474	1.067	0.008947	-0.005652	0.005068	pmid27989323_RANTES_eur	pmid27386562_MS_eur	pmid27989323_RANTES_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.0704	0.3248	0.2168	0.8284	0.04736	0.01275	0.9978	0.006342	-0.005019	0.004303	pmid27989323_RANTES_eur	pmid27455348_ALS_eur	pmid27989323_RANTES_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.01353	0.1159	1.004	0.007013	0.06265	0.005068	pmid27989323_RANTES_eur	pmid27989323_CTACK_eur	pmid27989323_RANTES_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0.6244	1.35	0.4626	0.6436	0.0245	0.06121	1.007	0.007925	0.1103	0.0056	pmid27989323_RANTES_eur	pmid27989323_GCSF_eur	pmid27989323_RANTES_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	-0.1275	0.5345	pmid27989323_RANTES_eur	pmid27989323_GROa_eur	pmid27989323_RANTES_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02103	0.05855	1.01	0.007928	0.108	0.005311	pmid27989323_RANTES_eur	pmid27989323_HGF_eur	pmid27989323_RANTES_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_RANTES_eur	pmid27989323_IFNg_eur	pmid27989323_RANTES_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.004433	0.0798	1.017	0.01235	0.07173	0.00466	pmid27989323_RANTES_eur	pmid27989323_IL10_eur	pmid27989323_RANTES_eur/pmid27989323_IL10_eur	ldsc
