p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	0	NA	NA	NA	-5.5021e-02	0.0556	1.0183	0.0071	1.0184e+00	0.0071	pmid27989323_SCF_eur	pmid27989323_SCF_eur	pmid27989323_SCF_eur/pmid27989323_SCF_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	5.5101e-02	0.0282	1.0592	0.0090	-1.6714e-03	0.0054	pmid27989323_SCF_eur	pmid21833088_MS_eur	pmid27989323_SCF_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.5795e+00	0.2418	1.0154	0.0868	-1.6829e-02	0.0188	pmid27989323_SCF_eur	pmid24076602_MS_eur	pmid27989323_SCF_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-2.3725e-01	0.0834	1.0204	0.0076	3.2157e-03	0.0048	pmid27989323_SCF_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_SCF_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	5.2612e-01	0.0708	1.0118	0.0071	-4.2192e-03	0.0043	pmid27989323_SCF_eur	pmid24816252_alanine_eur	pmid27989323_SCF_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-6.4116e-03	0.0633	1.0374	0.0071	9.8717e-04	0.0044	pmid27989323_SCF_eur	pmid24816252_arginine_eur	pmid27989323_SCF_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	4.9779e-01	0.0668	1.0189	0.0073	4.0347e-05	0.0047	pmid27989323_SCF_eur	pmid24816252_asparagine_eur	pmid27989323_SCF_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	1.3420e-01	0.0679	1.0436	0.0066	-7.3314e-03	0.0048	pmid27989323_SCF_eur	pmid24816252_cholesterol_eur	pmid27989323_SCF_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	4.5260e-01	0.0795	1.0589	0.0082	1.1879e-03	0.0048	pmid27989323_SCF_eur	pmid24816252_citrate_eur	pmid27989323_SCF_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_SCF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	1.6272e-01	0.0570	0.9318	0.0059	-1.7988e-03	0.0041	pmid27989323_SCF_eur	pmid24816252_glutamate_eur	pmid27989323_SCF_eur/pmid24816252_glutamate_eur	ldsc
