p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	1	1.386e-06	7.218e+05	0	0.09628	0.1788	1.011	0.009955	1.011	0.009955	pmid27989323_SCGFb_eur	pmid27989323_SCGFb_eur	pmid27989323_SCGFb_eur/pmid27989323_SCGFb_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.5605	0.5111	1.097	0.2728	0.05565	0.04017	1.066	0.01434	0.001606	0.008564	pmid27989323_SCGFb_eur	pmid21833088_MS_eur	pmid27989323_SCGFb_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.1082	0.1424	0.7598	0.4474	1.332	0.2135	1.196	0.1024	-0.05153	0.03166	pmid27989323_SCGFb_eur	pmid24076602_MS_eur	pmid27989323_SCGFb_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.1622	0.156	1.01	0.01386	-0.0002627	0.007378	pmid27989323_SCGFb_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_SCGFb_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.4605	0.5438	0.8468	0.3971	0.4988	0.101	1.014	0.01053	-0.0001067	0.00723	pmid27989323_SCGFb_eur	pmid24816252_alanine_eur	pmid27989323_SCGFb_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.01438	0.08562	1.034	0.009924	0.003594	0.007189	pmid27989323_SCGFb_eur	pmid24816252_arginine_eur	pmid27989323_SCGFb_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.1906	0.4452	0.4281	0.6686	0.4836	0.09493	1.029	0.01042	-0.001926	0.007395	pmid27989323_SCGFb_eur	pmid24816252_asparagine_eur	pmid27989323_SCGFb_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	1.136	1.104	1.029	0.3035	0.1693	0.1057	1.032	0.01141	-0.008411	0.006915	pmid27989323_SCGFb_eur	pmid24816252_cholesterol_eur	pmid27989323_SCGFb_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.3245	0.4588	-0.7073	0.4794	0.5811	0.09868	1.04	0.01052	0.0049	0.007883	pmid27989323_SCGFb_eur	pmid24816252_citrate_eur	pmid27989323_SCGFb_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.3677	0.6792	-0.5413	0.5883	0.1625	0.08129	0.9258	0.008626	0.008655	0.007112	pmid27989323_SCGFb_eur	pmid24816252_glutamate_eur	pmid27989323_SCGFb_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.08946	0.09209	1.006	0.0101	0.0164	0.006705	pmid27989323_SCGFb_eur	pmid24816252_glycerol_eur	pmid27989323_SCGFb_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.2053	0.3958	-0.5187	0.604	0.4224	0.1373	0.7577	0.01176	-0.003138	0.006318	pmid27989323_SCGFb_eur	pmid24816252_histidine_eur	pmid27989323_SCGFb_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.3194	0.08668	1.014	0.01082	0.005558	0.00647	pmid27989323_SCGFb_eur	pmid24816252_isoleucine_eur	pmid27989323_SCGFb_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	-0.4924	0.5518	-0.8923	0.3722	0.2648	0.06803	0.7838	0.008547	0.003516	0.006191	pmid27989323_SCGFb_eur	pmid24816252_phenylalanine_eur	pmid27989323_SCGFb_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.9091	0.861	1.056	0.291	0.3369	0.09953	1.03	0.01033	-0.01203	0.007644	pmid27989323_SCGFb_eur	pmid24816252_proline_eur	pmid27989323_SCGFb_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.4858	0.7321	0.6635	0.507	0.2259	0.08275	0.9844	0.009328	0.007506	0.008075	pmid27989323_SCGFb_eur	pmid24816252_pyruvate_eur	pmid27989323_SCGFb_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0	NA	NA	NA	-0.05458	0.1255	1.006	0.01062	0.008118	0.007597	pmid27989323_SCGFb_eur	pmid24816252_threonine_eur	pmid27989323_SCGFb_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.2856	0.3624	0.788	0.4307	0.831	0.1243	1.061	0.01277	-0.01201	0.008024	pmid27989323_SCGFb_eur	pmid24816252_tryptophan_eur	pmid27989323_SCGFb_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SCGFb_eur	pmid24816252_tyrosine_eur	pmid27989323_SCGFb_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.02637	0.08367	1.013	0.01008	-0.001737	0.007118	pmid27989323_SCGFb_eur	pmid24816252_urea_eur	pmid27989323_SCGFb_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SCGFb_eur	pmid27386562_MS_eur	pmid27989323_SCGFb_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.3961	0.7966	0.4972	0.6191	0.04302	0.01676	0.9956	0.01043	-0.001209	0.007324	pmid27989323_SCGFb_eur	pmid27455348_ALS_eur	pmid27989323_SCGFb_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	1.387	1.564	0.8871	0.375	0.3658	0.1833	0.9931	0.01064	0.1596	0.007768	pmid27989323_SCGFb_eur	pmid27989323_CTACK_eur	pmid27989323_SCGFb_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	-2.34	4.604	-0.5083	0.6112	0.04209	0.0823	1.012	0.01164	0.0849	0.00865	pmid27989323_SCGFb_eur	pmid27989323_GCSF_eur	pmid27989323_SCGFb_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-44.81	20.67	1.384	0.4791	-0.1049	0.8207	pmid27989323_SCGFb_eur	pmid27989323_GROa_eur	pmid27989323_SCGFb_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.1007	0.08492	1.012	0.01254	0.1765	0.007621	pmid27989323_SCGFb_eur	pmid27989323_HGF_eur	pmid27989323_SCGFb_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	-0.05313	0.08741	1.005	0.01004	0.06264	0.007591	pmid27989323_SCGFb_eur	pmid27989323_IFNg_eur	pmid27989323_SCGFb_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.1372	0.1498	1.048	0.02841	0.07149	0.008125	pmid27989323_SCGFb_eur	pmid27989323_IL10_eur	pmid27989323_SCGFb_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.1831	0.2211	1.061	0.04894	0.09345	0.007936	pmid27989323_SCGFb_eur	pmid27989323_IL12p70_eur	pmid27989323_SCGFb_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1425	0.298	1.017	0.02676	0.101	0.008093	pmid27989323_SCGFb_eur	pmid27989323_IL13_eur	pmid27989323_SCGFb_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.03096	0.1991	0.9868	0.01052	0.1409	0.007002	pmid27989323_SCGFb_eur	pmid27989323_IL16_eur	pmid27989323_SCGFb_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-3.452	1.373	1.499	0.1376	0.1209	0.07818	pmid27989323_SCGFb_eur	pmid27989323_IL17_eur	pmid27989323_SCGFb_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SCGFb_eur	pmid27989323_IL18_eur	pmid27989323_SCGFb_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	1.996	2.561	0.7795	0.4357	0.1358	0.1868	0.9827	0.01087	0.0647	0.006795	pmid27989323_SCGFb_eur	pmid27989323_IL1ra_eur	pmid27989323_SCGFb_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.1303	0.1788	1	0.0101	0.09787	0.007154	pmid27989323_SCGFb_eur	pmid27989323_IL2_eur	pmid27989323_SCGFb_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0	NA	NA	NA	-0.09503	0.1847	1.007	0.01081	0.145	0.007773	pmid27989323_SCGFb_eur	pmid27989323_IL2ra_eur	pmid27989323_SCGFb_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.07637	0.08201	1.018	0.01121	0.09314	0.00757	pmid27989323_SCGFb_eur	pmid27989323_IL4_eur	pmid27989323_SCGFb_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL5_eur.sumstats.gz	0	NA	NA	NA	-0.1101	0.2076	1.007	0.01185	0.1056	0.007822	pmid27989323_SCGFb_eur	pmid27989323_IL5_eur	pmid27989323_SCGFb_eur/pmid27989323_IL5_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL6_eur.sumstats.gz	0	NA	NA	NA	-0.05337	0.08487	1.014	0.01027	0.0682	0.007867	pmid27989323_SCGFb_eur	pmid27989323_IL6_eur	pmid27989323_SCGFb_eur/pmid27989323_IL6_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL7_eur.sumstats.gz	-0.159	1.574	-0.101	0.9195	0.1089	0.2422	1.004	0.01741	0.11	0.007206	pmid27989323_SCGFb_eur	pmid27989323_IL7_eur	pmid27989323_SCGFb_eur/pmid27989323_IL7_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL8_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SCGFb_eur	pmid27989323_IL8_eur	pmid27989323_SCGFb_eur/pmid27989323_IL8_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL9_eur.sumstats.gz	0	NA	NA	NA	-0.113	0.1827	0.9961	0.01089	0.1089	0.008029	pmid27989323_SCGFb_eur	pmid27989323_IL9_eur	pmid27989323_SCGFb_eur/pmid27989323_IL9_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	0.2136	0.5282	0.4043	0.686	0.3187	0.154	0.987	0.01369	0.1055	0.007475	pmid27989323_SCGFb_eur	pmid27989323_MCP1_eur	pmid27989323_SCGFb_eur/pmid27989323_MCP1_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP3_eur.sumstats.gz	-0.4391	6.68	-0.06574	0.9476	0.1607	0.8165	1.015	0.01153	-0.006697	0.009168	pmid27989323_SCGFb_eur	pmid27989323_MCP3_eur	pmid27989323_SCGFb_eur/pmid27989323_MCP3_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	-1.542	4.13	-0.3733	0.7089	0.363	0.8057	0.9849	0.01143	0.1165	0.007993	pmid27989323_SCGFb_eur	pmid27989323_MCSF_eur	pmid27989323_SCGFb_eur/pmid27989323_MCSF_eur	ldsc
../output_sumstats/output_pmid27989323_SCGFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SCGFb_eur	pmid27989323_MIF_eur	pmid27989323_SCGFb_eur/pmid27989323_MIF_eur	ldsc
