p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	0	NA	NA	NA	-0.01242	0.07532	0.9987	0.007137	0.9987	0.007137	pmid27989323_SDF1_eur	pmid27989323_SDF1_eur	pmid27989323_SDF1_eur/pmid27989323_SDF1_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05614	0.02813	1.059	0.009008	0.003776	0.005223	pmid27989323_SDF1_eur	pmid21833088_MS_eur	pmid27989323_SDF1_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24076602_MS_eur	pmid27989323_SDF1_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2386	0.08263	1.02	0.007555	0.001094	0.004742	pmid27989323_SDF1_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_SDF1_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_alanine_eur	pmid27989323_SDF1_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.006545	0.06393	1.038	0.007227	-0.004515	0.004159	pmid27989323_SDF1_eur	pmid24816252_arginine_eur	pmid27989323_SDF1_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_asparagine_eur	pmid27989323_SDF1_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_cholesterol_eur	pmid27989323_SDF1_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_citrate_eur	pmid27989323_SDF1_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_glutamate_eur	pmid27989323_SDF1_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1298	0.06066	1.016	0.006936	0.005452	0.004212	pmid27989323_SDF1_eur	pmid24816252_glycerol_eur	pmid27989323_SDF1_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_histidine_eur	pmid27989323_SDF1_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2784	0.05873	0.9997	0.006452	-0.001906	0.004594	pmid27989323_SDF1_eur	pmid24816252_isoleucine_eur	pmid27989323_SDF1_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_phenylalanine_eur	pmid27989323_SDF1_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_proline_eur	pmid27989323_SDF1_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_pyruvate_eur	pmid27989323_SDF1_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_threonine_eur	pmid27989323_SDF1_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_tryptophan_eur	pmid27989323_SDF1_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_SDF1_eur	pmid24816252_tyrosine_eur	pmid27989323_SDF1_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07908	0.05304	1.013	0.006332	-0.001538	0.004689	pmid27989323_SDF1_eur	pmid24816252_urea_eur	pmid27989323_SDF1_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	0	NA	NA	NA	0.2419	0.04728	1.067	0.008921	0.005802	0.005088	pmid27989323_SDF1_eur	pmid27386562_MS_eur	pmid27989323_SDF1_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0	NA	NA	NA	0.04763	0.01282	0.9977	0.006309	-0.001108	0.0047	pmid27989323_SDF1_eur	pmid27455348_ALS_eur	pmid27989323_SDF1_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.008434	0.1172	1.004	0.007053	0.008288	0.004668	pmid27989323_SDF1_eur	pmid27989323_CTACK_eur	pmid27989323_SDF1_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0	NA	NA	NA	0.01964	0.06172	1.008	0.00797	0.4307	0.005435	pmid27989323_SDF1_eur	pmid27989323_GCSF_eur	pmid27989323_SDF1_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	-0.2364	0.2913	pmid27989323_SDF1_eur	pmid27989323_GROa_eur	pmid27989323_SDF1_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.03078	0.05883	1.011	0.008125	0.3047	0.005073	pmid27989323_SDF1_eur	pmid27989323_HGF_eur	pmid27989323_SDF1_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	0.009823	0.06235	0.9999	0.007337	0.4525	0.005771	pmid27989323_SDF1_eur	pmid27989323_IFNg_eur	pmid27989323_SDF1_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.01077	0.07947	1.019	0.01231	0.3897	0.005239	pmid27989323_SDF1_eur	pmid27989323_IL10_eur	pmid27989323_SDF1_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.02299	0.08964	1.035	0.01933	0.4783	0.005638	pmid27989323_SDF1_eur	pmid27989323_IL12p70_eur	pmid27989323_SDF1_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1646	0.1632	1.017	0.01247	0.07397	0.004884	pmid27989323_SDF1_eur	pmid27989323_IL13_eur	pmid27989323_SDF1_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.07127	0.128	0.9952	0.007302	0.08131	0.005023	pmid27989323_SDF1_eur	pmid27989323_IL16_eur	pmid27989323_SDF1_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-3.34	1.415	1.483	0.1406	0.8539	0.08778	pmid27989323_SDF1_eur	pmid27989323_IL17_eur	pmid27989323_SDF1_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	0.3384	0.5844	0.9983	0.02293	0.05244	0.008345	pmid27989323_SDF1_eur	pmid27989323_IL18_eur	pmid27989323_SDF1_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0	NA	NA	NA	0.01378	0.1443	1.007	0.008013	0.05719	0.005262	pmid27989323_SDF1_eur	pmid27989323_IL1ra_eur	pmid27989323_SDF1_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.08841	0.1305	1.013	0.007067	0.06812	0.00504	pmid27989323_SDF1_eur	pmid27989323_IL2_eur	pmid27989323_SDF1_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0	NA	NA	NA	0.06013	0.1191	1.003	0.00665	0.1178	0.00523	pmid27989323_SDF1_eur	pmid27989323_IL2ra_eur	pmid27989323_SDF1_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.04185	0.05977	1.011	0.007918	0.5173	0.00602	pmid27989323_SDF1_eur	pmid27989323_IL4_eur	pmid27989323_SDF1_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL5_eur.sumstats.gz	0	NA	NA	NA	-0.12	0.1373	1.012	0.007395	0.05984	0.00526	pmid27989323_SDF1_eur	pmid27989323_IL5_eur	pmid27989323_SDF1_eur/pmid27989323_IL5_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL6_eur.sumstats.gz	0	NA	NA	NA	-0.005599	0.05656	1.009	0.006968	0.4767	0.005595	pmid27989323_SDF1_eur	pmid27989323_IL6_eur	pmid27989323_SDF1_eur/pmid27989323_IL6_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL7_eur.sumstats.gz	0	NA	NA	NA	-0.03553	0.1586	1.013	0.009005	0.0529	0.005269	pmid27989323_SDF1_eur	pmid27989323_IL7_eur	pmid27989323_SDF1_eur/pmid27989323_IL7_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL8_eur.sumstats.gz	0	NA	NA	NA	-0.03411	0.1273	1.008	0.006788	0.04729	0.005249	pmid27989323_SDF1_eur	pmid27989323_IL8_eur	pmid27989323_SDF1_eur/pmid27989323_IL8_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL9_eur.sumstats.gz	0	NA	NA	NA	-0.1775	0.126	1.014	0.007035	0.05649	0.005222	pmid27989323_SDF1_eur	pmid27989323_IL9_eur	pmid27989323_SDF1_eur/pmid27989323_IL9_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	0	NA	NA	NA	0.1717	0.08207	0.9945	0.007917	0.1994	0.005435	pmid27989323_SDF1_eur	pmid27989323_MCP1_eur	pmid27989323_SDF1_eur/pmid27989323_MCP1_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP3_eur.sumstats.gz	0	NA	NA	NA	-0.8781	0.5717	1.014	0.007763	0.1071	0.005329	pmid27989323_SDF1_eur	pmid27989323_MCP3_eur	pmid27989323_SDF1_eur/pmid27989323_MCP3_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	0	NA	NA	NA	0.1148	0.4995	0.9912	0.006943	0.09894	0.004893	pmid27989323_SDF1_eur	pmid27989323_MCSF_eur	pmid27989323_SDF1_eur/pmid27989323_MCSF_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIF_eur.sumstats.gz	0	NA	NA	NA	0.09182	0.1364	1.005	0.006942	0.0181	0.00511	pmid27989323_SDF1_eur	pmid27989323_MIF_eur	pmid27989323_SDF1_eur/pmid27989323_MIF_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIG_eur.sumstats.gz	0	NA	NA	NA	-0.1332	0.1091	1.014	0.006434	0.1039	0.004875	pmid27989323_SDF1_eur	pmid27989323_MIG_eur	pmid27989323_SDF1_eur/pmid27989323_MIG_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1a_eur.sumstats.gz	0	NA	NA	NA	-0.1369	0.1418	1.009	0.007114	0.06981	0.004857	pmid27989323_SDF1_eur	pmid27989323_MIP1a_eur	pmid27989323_SDF1_eur/pmid27989323_MIP1a_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MIP1b_eur.sumstats.gz	0	NA	NA	NA	0.2181	0.2757	1.019	0.02955	0.311	0.005334	pmid27989323_SDF1_eur	pmid27989323_MIP1b_eur	pmid27989323_SDF1_eur/pmid27989323_MIP1b_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_PDGFbb_eur.sumstats.gz	0	NA	NA	NA	-0.00531	0.06263	1.022	0.008668	0.5264	0.005711	pmid27989323_SDF1_eur	pmid27989323_PDGFbb_eur	pmid27989323_SDF1_eur/pmid27989323_PDGFbb_eur	ldsc
../output_sumstats/output_pmid27989323_SDF1_eur.sumstats.gz	../output_sumstats/output_pmid27989323_RANTES_eur.sumstats.gz	0	NA	NA	NA	0.1242	0.128	0.9997	0.006803	0.01134	0.004924	pmid27989323_SDF1_eur	pmid27989323_RANTES_eur	pmid27989323_SDF1_eur/pmid27989323_RANTES_eur	ldsc
