p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	0	NA	NA	NA	-0.05773	0.1334	0.9978	0.0069	0.9978	0.0069	pmid27989323_TNFa_eur	pmid27989323_TNFa_eur	pmid27989323_TNFa_eur/pmid27989323_TNFa_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05598	0.02797	1.059	0.008949	5.17e-05	0.005712	pmid27989323_TNFa_eur	pmid21833088_MS_eur	pmid27989323_TNFa_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.602	0.2373	1.004	0.08261	-0.007654	0.02999	pmid27989323_TNFa_eur	pmid24076602_MS_eur	pmid27989323_TNFa_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2323	0.08318	1.02	0.00759	-0.004641	0.004534	pmid27989323_TNFa_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_TNFa_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5281	0.07053	1.012	0.007234	-0.002457	0.004589	pmid27989323_TNFa_eur	pmid24816252_alanine_eur	pmid27989323_TNFa_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.009609	0.0632	1.038	0.007124	-0.007304	0.004728	pmid27989323_TNFa_eur	pmid24816252_arginine_eur	pmid27989323_TNFa_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.4957	0.06702	1.019	0.007289	-0.004485	0.00478	pmid27989323_TNFa_eur	pmid24816252_asparagine_eur	pmid27989323_TNFa_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1313	0.06743	1.044	0.006653	-0.008333	0.005161	pmid27989323_TNFa_eur	pmid24816252_cholesterol_eur	pmid27989323_TNFa_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4488	0.08008	1.059	0.008291	0.001225	0.004888	pmid27989323_TNFa_eur	pmid24816252_citrate_eur	pmid27989323_TNFa_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_TNFa_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1608	0.05685	0.9322	0.005896	-0.005221	0.004166	pmid27989323_TNFa_eur	pmid24816252_glutamate_eur	pmid27989323_TNFa_eur/pmid24816252_glutamate_eur	ldsc
