p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	0	NA	NA	NA	-0.4506	0.3081	1.0103	0.0076	1.0105	0.0076	pmid27989323_TNFb_eur	pmid27989323_TNFb_eur	pmid27989323_TNFb_eur/pmid27989323_TNFb_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.0654	0.0295	1.0521	0.0101	0.0037	0.0059	pmid27989323_TNFb_eur	pmid21833088_MS_eur	pmid27989323_TNFb_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.5584	0.2553	1.0675	0.0967	0.0396	0.0233	pmid27989323_TNFb_eur	pmid24076602_MS_eur	pmid27989323_TNFb_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2501	0.0767	1.0198	0.0078	-0.0066	0.0050	pmid27989323_TNFb_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_TNFb_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5132	0.0736	1.0184	0.0079	0.0041	0.0050	pmid27989323_TNFb_eur	pmid24816252_alanine_eur	pmid27989323_TNFb_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.0063	0.0668	1.0385	0.0078	0.0009	0.0051	pmid27989323_TNFb_eur	pmid24816252_arginine_eur	pmid27989323_TNFb_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.4469	0.0684	1.0301	0.0079	0.0020	0.0047	pmid27989323_TNFb_eur	pmid24816252_asparagine_eur	pmid27989323_TNFb_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.0762	0.0723	1.0555	0.0074	0.0026	0.0056	pmid27989323_TNFb_eur	pmid24816252_cholesterol_eur	pmid27989323_TNFb_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4082	0.0813	1.0718	0.0084	0.0042	0.0058	pmid27989323_TNFb_eur	pmid24816252_citrate_eur	pmid27989323_TNFb_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_TNFb_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1967	0.0592	0.9260	0.0067	-0.0012	0.0047	pmid27989323_TNFb_eur	pmid24816252_glutamate_eur	pmid27989323_TNFb_eur/pmid24816252_glutamate_eur	ldsc
