p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	0	NA	NA	NA	-1.9165e-02	0.0540	1.0206	0.0116	1.0206e+00	0.0116	pmid27989323_TRAIL_eur	pmid27989323_TRAIL_eur	pmid27989323_TRAIL_eur/pmid27989323_TRAIL_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	5.4393e-02	0.0280	1.0595	0.0090	3.7018e-03	0.0051	pmid27989323_TRAIL_eur	pmid21833088_MS_eur	pmid27989323_TRAIL_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.5876e+00	0.2426	1.0124	0.0871	-4.2174e-03	0.0190	pmid27989323_TRAIL_eur	pmid24076602_MS_eur	pmid27989323_TRAIL_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-2.3646e-01	0.0833	1.0201	0.0076	1.3406e-04	0.0046	pmid27989323_TRAIL_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_TRAIL_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	5.2882e-01	0.0706	1.0113	0.0071	9.7566e-03	0.0045	pmid27989323_TRAIL_eur	pmid24816252_alanine_eur	pmid27989323_TRAIL_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-7.5631e-03	0.0638	1.0379	0.0072	7.3572e-03	0.0048	pmid27989323_TRAIL_eur	pmid24816252_arginine_eur	pmid27989323_TRAIL_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	4.9666e-01	0.0669	1.0191	0.0073	8.5683e-03	0.0045	pmid27989323_TRAIL_eur	pmid24816252_asparagine_eur	pmid27989323_TRAIL_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	1.3532e-01	0.0677	1.0435	0.0066	-1.6842e-03	0.0053	pmid27989323_TRAIL_eur	pmid24816252_cholesterol_eur	pmid27989323_TRAIL_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	4.5131e-01	0.0799	1.0590	0.0082	2.1399e-03	0.0047	pmid27989323_TRAIL_eur	pmid24816252_citrate_eur	pmid27989323_TRAIL_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_TRAIL_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	1.6235e-01	0.0571	0.9318	0.0059	-3.3287e-03	0.0046	pmid27989323_TRAIL_eur	pmid24816252_glutamate_eur	pmid27989323_TRAIL_eur/pmid24816252_glutamate_eur	ldsc
