p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	1	1.409e-06	7.097e+05	0	0.262	0.1383	0.9943	0.007721	0.9943	0.007721	pmid27989323_bNGF_eur	pmid27989323_bNGF_eur	pmid27989323_bNGF_eur/pmid27989323_bNGF_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.2345	0.446	-0.5257	0.5991	0.0536	0.02828	1.06	0.009088	0.003194	0.005951	pmid27989323_bNGF_eur	pmid21833088_MS_eur	pmid27989323_bNGF_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.0658	0.3213	0.2048	0.8377	1.603	0.2348	1.003	0.08293	0.02826	0.0236	pmid27989323_bNGF_eur	pmid24076602_MS_eur	pmid27989323_bNGF_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2353	0.08334	1.02	0.00761	0.001166	0.004758	pmid27989323_bNGF_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_bNGF_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.02108	0.1963	-0.1073	0.9145	0.5282	0.07085	1.011	0.007202	0.0009871	0.004696	pmid27989323_bNGF_eur	pmid24816252_alanine_eur	pmid27989323_bNGF_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.007514	0.06385	1.038	0.007214	0.002698	0.004612	pmid27989323_bNGF_eur	pmid24816252_arginine_eur	pmid27989323_bNGF_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.04572	0.193	0.2369	0.8127	0.4975	0.06738	1.019	0.007313	-0.002194	0.004526	pmid27989323_bNGF_eur	pmid24816252_asparagine_eur	pmid27989323_bNGF_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.1477	0.3604	0.4097	0.682	0.1356	0.06758	1.043	0.006564	-0.0008951	0.004684	pmid27989323_bNGF_eur	pmid24816252_cholesterol_eur	pmid27989323_bNGF_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.1708	0.2037	0.8382	0.4019	0.4473	0.07994	1.06	0.008228	-9.158e-05	0.004572	pmid27989323_bNGF_eur	pmid24816252_citrate_eur	pmid27989323_bNGF_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.02729	0.3134	0.08706	0.9306	0.1598	0.05741	0.9322	0.005926	-0.002422	0.004642	pmid27989323_bNGF_eur	pmid24816252_glutamate_eur	pmid27989323_bNGF_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1292	0.06084	1.017	0.006985	0.003028	0.004843	pmid27989323_bNGF_eur	pmid24816252_glycerol_eur	pmid27989323_bNGF_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.04487	0.1556	-0.2883	0.7731	0.4303	0.06928	0.7589	0.006104	0.001493	0.003621	pmid27989323_bNGF_eur	pmid24816252_histidine_eur	pmid27989323_bNGF_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2804	0.05904	0.9999	0.006507	0.007973	0.004409	pmid27989323_bNGF_eur	pmid24816252_isoleucine_eur	pmid27989323_bNGF_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	-0.2632	0.2092	-1.258	0.2082	0.3255	0.04356	0.7781	0.005113	0.00338	0.004002	pmid27989323_bNGF_eur	pmid24816252_phenylalanine_eur	pmid27989323_bNGF_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	-0.1376	0.2228	-0.6173	0.5371	0.3727	0.09006	1.038	0.01272	0.005157	0.004902	pmid27989323_bNGF_eur	pmid24816252_proline_eur	pmid27989323_bNGF_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.1092	0.3511	0.311	0.7558	0.1531	0.05598	0.9986	0.005992	-0.00198	0.004773	pmid27989323_bNGF_eur	pmid24816252_pyruvate_eur	pmid27989323_bNGF_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.2953	0.7546	-0.3913	0.6955	0.04943	0.08385	1.009	0.006746	0.0001602	0.00505	pmid27989323_bNGF_eur	pmid24816252_threonine_eur	pmid27989323_bNGF_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	-0.3901	0.1704	-2.29	0.02205	0.9303	0.07462	1.048	0.00794	0.004826	0.004929	pmid27989323_bNGF_eur	pmid24816252_tryptophan_eur	pmid27989323_bNGF_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	-0.19	0.3287	-0.578	0.5633	0.1666	0.07082	1.032	0.007193	0.001752	0.004984	pmid27989323_bNGF_eur	pmid24816252_tyrosine_eur	pmid27989323_bNGF_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.07901	0.05242	1.012	0.006281	-0.004994	0.004515	pmid27989323_bNGF_eur	pmid24816252_urea_eur	pmid27989323_bNGF_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	-0.05447	0.1827	-0.2981	0.7656	0.2448	0.04741	1.066	0.008947	-0.001285	0.004882	pmid27989323_bNGF_eur	pmid27386562_MS_eur	pmid27989323_bNGF_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.2412	0.2673	0.9023	0.3669	0.04757	0.01267	0.9978	0.006275	-0.0008241	0.005023	pmid27989323_bNGF_eur	pmid27455348_ALS_eur	pmid27989323_bNGF_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	-0.009702	0.1163	1.004	0.007013	0.05623	0.004823	pmid27989323_bNGF_eur	pmid27989323_CTACK_eur	pmid27989323_bNGF_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	2.048	2.563	0.7992	0.4242	0.02622	0.06155	1.007	0.008004	0.1542	0.005533	pmid27989323_bNGF_eur	pmid27989323_GCSF_eur	pmid27989323_bNGF_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-45.3	20.77	1.381	0.479	-0.05346	0.3071	pmid27989323_bNGF_eur	pmid27989323_GROa_eur	pmid27989323_bNGF_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.02326	0.05863	1.01	0.007998	0.2073	0.00503	pmid27989323_bNGF_eur	pmid27989323_HGF_eur	pmid27989323_bNGF_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_bNGF_eur	pmid27989323_IFNg_eur	pmid27989323_bNGF_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.01131	0.0799	1.019	0.01232	0.1262	0.005189	pmid27989323_bNGF_eur	pmid27989323_IL10_eur	pmid27989323_bNGF_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.01943	0.09032	1.034	0.01941	0.106	0.00512	pmid27989323_bNGF_eur	pmid27989323_IL12p70_eur	pmid27989323_bNGF_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1595	0.1628	1.016	0.01242	0.1603	0.005288	pmid27989323_bNGF_eur	pmid27989323_IL13_eur	pmid27989323_bNGF_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.07255	0.1277	0.9952	0.007227	0.1687	0.005229	pmid27989323_bNGF_eur	pmid27989323_IL16_eur	pmid27989323_bNGF_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-3.246	1.4	1.475	0.1385	-0.0352	0.09653	pmid27989323_bNGF_eur	pmid27989323_IL17_eur	pmid27989323_bNGF_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_bNGF_eur	pmid27989323_IL18_eur	pmid27989323_bNGF_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_bNGF_eur	pmid27989323_IL1ra_eur	pmid27989323_bNGF_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.0919	0.1302	1.014	0.007147	0.2518	0.005429	pmid27989323_bNGF_eur	pmid27989323_IL2_eur	pmid27989323_bNGF_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0.8212	0.7549	1.088	0.2767	0.06508	0.118	1.003	0.006658	0.2798	0.005252	pmid27989323_bNGF_eur	pmid27989323_IL2ra_eur	pmid27989323_bNGF_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid27989323_bNGF_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.04012	0.06008	1.01	0.008008	0.1768	0.005561	pmid27989323_bNGF_eur	pmid27989323_IL4_eur	pmid27989323_bNGF_eur/pmid27989323_IL4_eur	ldsc
