p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	1	1.828e-07	5.471e+06	0	0.1032	0.06688	1.009	0.00762	1.009	0.00762	pmid27989323_eotaxin_eur	pmid27989323_eotaxin_eur	pmid27989323_eotaxin_eur/pmid27989323_eotaxin_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.5948	0.4417	-1.347	0.1781	0.05679	0.02818	1.059	0.008963	0.01152	0.00562	pmid27989323_eotaxin_eur	pmid21833088_MS_eur	pmid27989323_eotaxin_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	-0.2292	0.138	-1.661	0.09673	1.594	0.2416	1.009	0.08348	0.02355	0.022	pmid27989323_eotaxin_eur	pmid24076602_MS_eur	pmid27989323_eotaxin_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2378	0.08326	1.02	0.007592	-0.003904	0.004481	pmid27989323_eotaxin_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_eotaxin_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.1594	0.1936	0.8233	0.4103	0.5277	0.07052	1.012	0.007165	-0.00487	0.004549	pmid27989323_eotaxin_eur	pmid24816252_alanine_eur	pmid27989323_eotaxin_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.003226	0.06386	1.037	0.007251	0.0008557	0.004826	pmid27989323_eotaxin_eur	pmid24816252_arginine_eur	pmid27989323_eotaxin_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.1859	0.2077	0.895	0.3708	0.498	0.06685	1.019	0.007257	-0.005491	0.004655	pmid27989323_eotaxin_eur	pmid24816252_asparagine_eur	pmid27989323_eotaxin_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	-0.1395	0.3663	-0.3808	0.7033	0.1334	0.06746	1.044	0.006566	0.0006086	0.004835	pmid27989323_eotaxin_eur	pmid24816252_cholesterol_eur	pmid27989323_eotaxin_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.1324	0.1976	0.6699	0.5029	0.45	0.07982	1.059	0.008246	-0.005946	0.004451	pmid27989323_eotaxin_eur	pmid24816252_citrate_eur	pmid27989323_eotaxin_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_eotaxin_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.2503	0.3322	0.7535	0.4512	0.1631	0.05694	0.9317	0.005868	-0.001512	0.004338	pmid27989323_eotaxin_eur	pmid24816252_glutamate_eur	pmid27989323_eotaxin_eur/pmid24816252_glutamate_eur	ldsc
