p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	1	1.059e-07	9.44e+06	0	0.1319	0.1225	1.008	0.007258	1.008	0.007258	pmid27989323_ip10_eur	pmid27989323_ip10_eur	pmid27989323_ip10_eur/pmid27989323_ip10_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	-0.04955	0.3781	-0.131	0.8957	0.05572	0.02834	1.059	0.009109	0.006174	0.005299	pmid27989323_ip10_eur	pmid21833088_MS_eur	pmid27989323_ip10_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid27989323_ip10_eur	pmid24076602_MS_eur	pmid27989323_ip10_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2361	0.08301	1.02	0.007562	0.006521	0.004469	pmid27989323_ip10_eur	pmid24816252_acetylcarnitine_eur	pmid27989323_ip10_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.7781	0.7391	1.053	0.2925	0.5231	0.0706	1.012	0.007167	-0.005665	0.004878	pmid27989323_ip10_eur	pmid24816252_alanine_eur	pmid27989323_ip10_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.007277	0.06315	1.038	0.007148	0.004797	0.004676	pmid27989323_ip10_eur	pmid24816252_arginine_eur	pmid27989323_ip10_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.0447	0.2877	-0.1553	0.8765	0.4966	0.06694	1.019	0.007226	0.001271	0.004757	pmid27989323_ip10_eur	pmid24816252_asparagine_eur	pmid27989323_ip10_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.8335	0.9167	0.9093	0.3632	0.1359	0.06728	1.043	0.006618	-0.008565	0.004744	pmid27989323_ip10_eur	pmid24816252_cholesterol_eur	pmid27989323_ip10_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.1599	0.2988	0.535	0.5926	0.4473	0.08012	1.06	0.008298	0.005689	0.004172	pmid27989323_ip10_eur	pmid24816252_citrate_eur	pmid27989323_ip10_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.8857	0.9831	0.9009	0.3676	0.1601	0.05673	0.9323	0.005861	-0.008238	0.004168	pmid27989323_ip10_eur	pmid24816252_glutamate_eur	pmid27989323_ip10_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1276	0.06066	1.016	0.006955	-0.001158	0.00481	pmid27989323_ip10_eur	pmid24816252_glycerol_eur	pmid27989323_ip10_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0.02753	0.2972	0.09265	0.9262	0.4272	0.06945	0.7593	0.006147	0.003983	0.004251	pmid27989323_ip10_eur	pmid24816252_histidine_eur	pmid27989323_ip10_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2775	0.05881	0.9996	0.006448	-0.003704	0.00468	pmid27989323_ip10_eur	pmid24816252_isoleucine_eur	pmid27989323_ip10_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.7613	0.7421	1.026	0.305	0.3257	0.04344	0.7781	0.005081	-0.003866	0.004042	pmid27989323_ip10_eur	pmid24816252_phenylalanine_eur	pmid27989323_ip10_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.639	0.6185	1.033	0.3015	0.3711	0.08979	1.038	0.01267	-0.0005401	0.004963	pmid27989323_ip10_eur	pmid24816252_proline_eur	pmid27989323_ip10_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	0.2102	0.5456	0.3852	0.7001	0.1532	0.05631	0.9985	0.006031	0.006429	0.004625	pmid27989323_ip10_eur	pmid24816252_pyruvate_eur	pmid27989323_ip10_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.03162	1.122	-0.02817	0.9775	0.04877	0.08324	1.009	0.006795	-0.00472	0.004448	pmid27989323_ip10_eur	pmid24816252_threonine_eur	pmid27989323_ip10_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.402	0.4334	0.9275	0.3537	0.9209	0.07457	1.049	0.007985	-0.00425	0.004827	pmid27989323_ip10_eur	pmid24816252_tryptophan_eur	pmid27989323_ip10_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid27989323_ip10_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0.8673	0.8882	0.9765	0.3288	0.1657	0.07079	1.032	0.00724	-0.001487	0.004556	pmid27989323_ip10_eur	pmid24816252_tyrosine_eur	pmid27989323_ip10_eur/pmid24816252_tyrosine_eur	ldsc
