p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	1.001	0.0003233	3095	0	0.09498	0.02638	1.045	0.07618	1.045	0.07619	pmid29632382_T2d-BMIadj_eur	pmid29632382_T2d-BMIadj_eur	pmid29632382_T2d-BMIadj_eur/pmid29632382_T2d-BMIadj_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.07451	0.08698	0.8566	0.3917	0.4271	0.1134	1.121	0.04279	0.008031	0.03388	pmid29632382_T2d-BMIadj_eur	pmid21833088_MS_eur	pmid29632382_T2d-BMIadj_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.1253	0.1031	1.215	0.2243	1.904	0.9912	1.738	0.6683	-0.06901	0.1319	pmid29632382_T2d-BMIadj_eur	pmid24076602_MS_eur	pmid29632382_T2d-BMIadj_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2169	0.214	1.026	0.02954	0.002278	0.02109	pmid29632382_T2d-BMIadj_eur	pmid24816252_acetylcarnitine_eur	pmid29632382_T2d-BMIadj_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.09021	0.1122	-0.8043	0.4212	0.6399	0.2198	1.023	0.02461	0.05009	0.02447	pmid29632382_T2d-BMIadj_eur	pmid24816252_alanine_eur	pmid29632382_T2d-BMIadj_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	-0.2284	0.2001	-1.142	0.2536	0.1851	0.1688	1.032	0.0238	0.01815	0.02184	pmid29632382_T2d-BMIadj_eur	pmid24816252_arginine_eur	pmid29632382_T2d-BMIadj_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.001919	0.09949	-0.01929	0.9846	0.615	0.2006	1.021	0.02834	0.001643	0.02277	pmid29632382_T2d-BMIadj_eur	pmid24816252_asparagine_eur	pmid29632382_T2d-BMIadj_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.05215	0.1343	0.3882	0.6979	0.3496	0.2109	1.054	0.0344	-0.02949	0.02318	pmid29632382_T2d-BMIadj_eur	pmid24816252_cholesterol_eur	pmid29632382_T2d-BMIadj_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.2737	0.1225	-2.234	0.02546	0.5177	0.2077	1.084	0.02902	0.03909	0.0236	pmid29632382_T2d-BMIadj_eur	pmid24816252_citrate_eur	pmid29632382_T2d-BMIadj_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid29632382_T2d-BMIadj_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.1978	0.3423	0.5778	0.5634	0.07892	0.1514	0.9526	0.02302	0.04316	0.02247	pmid29632382_T2d-BMIadj_eur	pmid24816252_glutamate_eur	pmid29632382_T2d-BMIadj_eur/pmid24816252_glutamate_eur	ldsc
