p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	1	9.821e-07	1.018e+06	0	0.04592	0.002919	1.052	0.01897	1.052	0.01897	pmid30054458_T2d_eur	pmid30054458_T2d_eur	pmid30054458_T2d_eur/pmid30054458_T2d_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.3052	0.1168	2.612	0.008998	0.06517	0.03172	1.05	0.01133	0.003459	0.00861	pmid30054458_T2d_eur	pmid21833088_MS_eur	pmid30054458_T2d_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.06895	0.05088	1.355	0.1753	1.52	0.2641	1.038	0.1133	0.02341	0.04364	pmid30054458_T2d_eur	pmid24076602_MS_eur	pmid30054458_T2d_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2252	0.08796	1.019	0.009428	-0.002764	0.006952	pmid30054458_T2d_eur	pmid24816252_acetylcarnitine_eur	pmid30054458_T2d_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.07042	0.05966	1.18	0.2379	0.5511	0.0775	1.008	0.008828	0.009427	0.008058	pmid30054458_T2d_eur	pmid24816252_alanine_eur	pmid30054458_T2d_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid30054458_T2d_eur	pmid24816252_arginine_eur	pmid30054458_T2d_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.1306	0.05153	-2.534	0.01129	0.5297	0.07883	1.013	0.008408	0.004623	0.00705	pmid30054458_T2d_eur	pmid24816252_asparagine_eur	pmid30054458_T2d_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.06022	0.08807	0.6837	0.4942	0.1742	0.07194	1.036	0.007864	-0.006795	0.007502	pmid30054458_T2d_eur	pmid24816252_cholesterol_eur	pmid30054458_T2d_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.08992	0.05869	-1.532	0.1255	0.4334	0.08066	1.06	0.008924	0.006951	0.007919	pmid30054458_T2d_eur	pmid24816252_citrate_eur	pmid30054458_T2d_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid30054458_T2d_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.3513	0.1137	3.09	0.002003	0.1532	0.05897	0.9327	0.007462	0.008165	0.006811	pmid30054458_T2d_eur	pmid24816252_glutamate_eur	pmid30054458_T2d_eur/pmid24816252_glutamate_eur	ldsc
