p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	1	5.786e-07	1.728e+06	0	0.03656	0.004116	0.9751	0.01175	0.9751	0.01175	pmid33310728_RA_eur	pmid33310728_RA_eur	pmid33310728_RA_eur/pmid33310728_RA_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.3385	0.132	2.565	0.01033	0.05664	0.0282	1.059	0.009035	0.008797	0.006049	pmid33310728_RA_eur	pmid21833088_MS_eur	pmid33310728_RA_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.1216	0.07242	1.68	0.09305	1.596	0.2526	1.006	0.07824	0.07074	0.04387	pmid33310728_RA_eur	pmid24076602_MS_eur	pmid33310728_RA_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2429	0.08239	1.021	0.007678	-0.001747	0.004416	pmid33310728_RA_eur	pmid24816252_acetylcarnitine_eur	pmid33310728_RA_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.03323	0.0666	-0.499	0.6177	0.5286	0.07241	1.011	0.007067	0.003925	0.005176	pmid33310728_RA_eur	pmid24816252_alanine_eur	pmid33310728_RA_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.003051	0.06375	1.037	0.007215	0.0005282	0.00484	pmid33310728_RA_eur	pmid24816252_arginine_eur	pmid33310728_RA_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.04404	0.05947	0.7406	0.459	0.4957	0.06643	1.019	0.007118	-0.007722	0.004835	pmid33310728_RA_eur	pmid24816252_asparagine_eur	pmid33310728_RA_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.02867	0.113	0.2537	0.7997	0.1328	0.06911	1.044	0.006718	0.004724	0.00473	pmid33310728_RA_eur	pmid24816252_cholesterol_eur	pmid33310728_RA_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0.05439	0.05919	0.9189	0.3582	0.4533	0.07801	1.058	0.007873	-0.005321	0.004716	pmid33310728_RA_eur	pmid24816252_citrate_eur	pmid33310728_RA_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.02897	0.09593	-0.302	0.7627	0.1569	0.0578	0.9329	0.006151	0.00375	0.004531	pmid33310728_RA_eur	pmid24816252_glutamate_eur	pmid33310728_RA_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1319	0.0604	1.017	0.00695	0.00138	0.004285	pmid33310728_RA_eur	pmid24816252_glycerol_eur	pmid33310728_RA_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	-0.04696	0.05571	-0.843	0.3992	0.4342	0.0714	0.7584	0.006325	0.003852	0.004095	pmid33310728_RA_eur	pmid24816252_histidine_eur	pmid33310728_RA_eur/pmid24816252_histidine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_isoleucine_eur.sumstats.gz	0	NA	NA	NA	-0.2861	0.05823	1.001	0.006416	-0.001975	0.004637	pmid33310728_RA_eur	pmid24816252_isoleucine_eur	pmid33310728_RA_eur/pmid24816252_isoleucine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_phenylalanine_eur.sumstats.gz	0.02023	0.06279	0.3223	0.7473	0.3273	0.04386	0.7778	0.005129	0.001197	0.004283	pmid33310728_RA_eur	pmid24816252_phenylalanine_eur	pmid33310728_RA_eur/pmid24816252_phenylalanine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_proline_eur.sumstats.gz	0.07047	0.07183	0.981	0.3266	0.3781	0.08879	1.037	0.01234	-0.007702	0.005072	pmid33310728_RA_eur	pmid24816252_proline_eur	pmid33310728_RA_eur/pmid24816252_proline_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_pyruvate_eur.sumstats.gz	-0.1214	0.1042	-1.165	0.244	0.1438	0.0546	1	0.005757	0.003407	0.004653	pmid33310728_RA_eur	pmid24816252_pyruvate_eur	pmid33310728_RA_eur/pmid24816252_pyruvate_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_threonine_eur.sumstats.gz	-0.08862	0.2506	-0.3536	0.7237	0.05045	0.08367	1.009	0.006576	0.0008466	0.004847	pmid33310728_RA_eur	pmid24816252_threonine_eur	pmid33310728_RA_eur/pmid24816252_threonine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tryptophan_eur.sumstats.gz	0.001609	0.04333	0.03714	0.9704	0.9157	0.07604	1.05	0.00793	-0.002265	0.004842	pmid33310728_RA_eur	pmid24816252_tryptophan_eur	pmid33310728_RA_eur/pmid24816252_tryptophan_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_tyrosine_eur.sumstats.gz	0.03363	0.0961	0.35	0.7263	0.1739	0.07157	1.031	0.007256	0.00165	0.004429	pmid33310728_RA_eur	pmid24816252_tyrosine_eur	pmid33310728_RA_eur/pmid24816252_tyrosine_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid24816252_urea_eur.sumstats.gz	0	NA	NA	NA	-0.08103	0.05408	1.013	0.006436	0.0007846	0.004395	pmid33310728_RA_eur	pmid24816252_urea_eur	pmid33310728_RA_eur/pmid24816252_urea_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27386562_MS_eur.sumstats.gz	-0.2002	0.06196	-3.231	0.001236	0.2438	0.04777	1.066	0.00865	0.0006088	0.005517	pmid33310728_RA_eur	pmid27386562_MS_eur	pmid33310728_RA_eur/pmid27386562_MS_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27455348_ALS_eur.sumstats.gz	0.09968	0.07768	1.283	0.1994	0.04649	0.01282	0.9986	0.006201	0.01327	0.004487	pmid33310728_RA_eur	pmid27455348_ALS_eur	pmid33310728_RA_eur/pmid27455348_ALS_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_CTACK_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid33310728_RA_eur	pmid27989323_CTACK_eur	pmid33310728_RA_eur/pmid27989323_CTACK_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GCSF_eur.sumstats.gz	0.1324	0.3397	0.3897	0.6968	0.01994	0.06101	1.007	0.007931	0.001588	0.004526	pmid33310728_RA_eur	pmid27989323_GCSF_eur	pmid33310728_RA_eur/pmid27989323_GCSF_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_GROa_eur.sumstats.gz	0	NA	NA	NA	-57.58	29.1	1.675	0.6775	-0.1715	1.058	pmid33310728_RA_eur	pmid27989323_GROa_eur	pmid33310728_RA_eur/pmid27989323_GROa_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_HGF_eur.sumstats.gz	0	NA	NA	NA	-0.01837	0.05973	1.01	0.008255	-0.00384	0.00476	pmid33310728_RA_eur	pmid27989323_HGF_eur	pmid33310728_RA_eur/pmid27989323_HGF_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IFNg_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid33310728_RA_eur	pmid27989323_IFNg_eur	pmid33310728_RA_eur/pmid27989323_IFNg_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL10_eur.sumstats.gz	0	NA	NA	NA	-0.01302	0.08079	1.019	0.01273	8.918e-06	0.00414	pmid33310728_RA_eur	pmid27989323_IL10_eur	pmid33310728_RA_eur/pmid27989323_IL10_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL12p70_eur.sumstats.gz	0	NA	NA	NA	-0.01929	0.0922	1.034	0.02	-0.001232	0.004019	pmid33310728_RA_eur	pmid27989323_IL12p70_eur	pmid33310728_RA_eur/pmid27989323_IL12p70_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL13_eur.sumstats.gz	0	NA	NA	NA	-0.1491	0.1643	1.016	0.01265	-0.003	0.004063	pmid33310728_RA_eur	pmid27989323_IL13_eur	pmid33310728_RA_eur/pmid27989323_IL13_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL16_eur.sumstats.gz	0	NA	NA	NA	-0.07178	0.131	0.9951	0.007542	-0.003521	0.004883	pmid33310728_RA_eur	pmid27989323_IL16_eur	pmid33310728_RA_eur/pmid27989323_IL16_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL17_eur.sumstats.gz	0	NA	NA	NA	-3.186	1.396	1.468	0.1382	-0.02345	0.1153	pmid33310728_RA_eur	pmid27989323_IL17_eur	pmid33310728_RA_eur/pmid27989323_IL17_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL18_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid33310728_RA_eur	pmid27989323_IL18_eur	pmid33310728_RA_eur/pmid27989323_IL18_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL1ra_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid33310728_RA_eur	pmid27989323_IL1ra_eur	pmid33310728_RA_eur/pmid27989323_IL1ra_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2_eur.sumstats.gz	0	NA	NA	NA	-0.08413	0.1312	1.012	0.007226	-0.00123	0.004371	pmid33310728_RA_eur	pmid27989323_IL2_eur	pmid33310728_RA_eur/pmid27989323_IL2_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL2ra_eur.sumstats.gz	0.4294	0.5616	0.7646	0.4445	0.0523	0.1184	1.004	0.00671	-0.006457	0.00455	pmid33310728_RA_eur	pmid27989323_IL2ra_eur	pmid33310728_RA_eur/pmid27989323_IL2ra_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL4_eur.sumstats.gz	0	NA	NA	NA	-0.03781	0.06081	1.009	0.008046	0.0008683	0.004693	pmid33310728_RA_eur	pmid27989323_IL4_eur	pmid33310728_RA_eur/pmid27989323_IL4_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL5_eur.sumstats.gz	0	NA	NA	NA	-0.1078	0.1396	1.011	0.007546	-0.006196	0.004185	pmid33310728_RA_eur	pmid27989323_IL5_eur	pmid33310728_RA_eur/pmid27989323_IL5_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL6_eur.sumstats.gz	0	NA	NA	NA	-0.002295	0.05596	1.008	0.006949	0.002092	0.004172	pmid33310728_RA_eur	pmid27989323_IL6_eur	pmid33310728_RA_eur/pmid27989323_IL6_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL7_eur.sumstats.gz	0	NA	NA	NA	-0.0127	0.1603	1.011	0.009115	-0.003987	0.004354	pmid33310728_RA_eur	pmid27989323_IL7_eur	pmid33310728_RA_eur/pmid27989323_IL7_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL8_eur.sumstats.gz	0	NA	NA	NA	-0.0107	0.1262	1.006	0.006826	-3.931e-05	0.004456	pmid33310728_RA_eur	pmid27989323_IL8_eur	pmid33310728_RA_eur/pmid27989323_IL8_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_IL9_eur.sumstats.gz	0	NA	NA	NA	-0.1538	0.1238	1.012	0.00695	-0.0069	0.004484	pmid33310728_RA_eur	pmid27989323_IL9_eur	pmid33310728_RA_eur/pmid27989323_IL9_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP1_eur.sumstats.gz	0.07152	0.09519	0.7513	0.4524	0.1668	0.08278	0.9952	0.008008	-0.0002622	0.004802	pmid33310728_RA_eur	pmid27989323_MCP1_eur	pmid33310728_RA_eur/pmid27989323_MCP1_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCP3_eur.sumstats.gz	0	NA	NA	NA	-0.8283	0.5767	1.013	0.007904	-0.0025	0.004748	pmid33310728_RA_eur	pmid27989323_MCP3_eur	pmid33310728_RA_eur/pmid27989323_MCP3_eur	ldsc
../output_sumstats/output_pmid33310728_RA_eur.sumstats.gz	../output_sumstats/output_pmid27989323_MCSF_eur.sumstats.gz	-0.04458	0.3198	-0.1394	0.8891	0.1677	0.5104	0.9906	0.006881	-0.0001703	0.004676	pmid33310728_RA_eur	pmid27989323_MCSF_eur	pmid33310728_RA_eur/pmid27989323_MCSF_eur	ldsc
