p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	1	1.069e-05	9.353e+04	0	0.1677	0.08152	1.002	0.008326	1.002	0.008326	pmid33589841_LBD_eur	pmid33589841_LBD_eur	pmid33589841_LBD_eur/pmid33589841_LBD_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.4076	0.5285	0.7713	0.4405	0.04877	0.02718	1.06	0.008878	0.005134	0.005581	pmid33589841_LBD_eur	pmid21833088_MS_eur	pmid33589841_LBD_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid33589841_LBD_eur	pmid24076602_MS_eur	pmid33589841_LBD_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.236	0.0826	1.018	0.007667	0.001201	0.004665	pmid33589841_LBD_eur	pmid24816252_acetylcarnitine_eur	pmid33589841_LBD_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	-0.2765	0.1785	-1.549	0.1213	0.5653	0.07632	1.012	0.007438	0.005063	0.005164	pmid33589841_LBD_eur	pmid24816252_alanine_eur	pmid33589841_LBD_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid33589841_LBD_eur	pmid24816252_arginine_eur	pmid33589841_LBD_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	-0.1276	0.1852	-0.6889	0.4909	0.5331	0.07055	1.018	0.007041	0.00373	0.005313	pmid33589841_LBD_eur	pmid24816252_asparagine_eur	pmid33589841_LBD_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0.4831	0.407	1.187	0.2352	0.1111	0.07214	1.047	0.006867	-0.001085	0.004705	pmid33589841_LBD_eur	pmid24816252_cholesterol_eur	pmid33589841_LBD_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.08517	0.1806	-0.4715	0.6373	0.4584	0.08051	1.059	0.008084	0.002258	0.005014	pmid33589841_LBD_eur	pmid24816252_citrate_eur	pmid33589841_LBD_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid33589841_LBD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0.1155	0.3148	0.3669	0.7137	0.1597	0.05584	0.9317	0.006173	-0.004531	0.004592	pmid33589841_LBD_eur	pmid24816252_glutamate_eur	pmid33589841_LBD_eur/pmid24816252_glutamate_eur	ldsc
