p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	1	1.776e-08	5.629e+07	0	0.4291	0.1459	0.9809	0.006419	0.9809	0.006419	pmid33987465_PD_eur	pmid33987465_PD_eur	pmid33987465_PD_eur/pmid33987465_PD_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0.1915	0.3516	0.5447	0.5859	0.05663	0.02825	1.059	0.009062	-0.009695	0.005713	pmid33987465_PD_eur	pmid21833088_MS_eur	pmid33987465_PD_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0.1434	0.1442	0.9944	0.32	1.546	0.2523	1.034	0.1027	-0.007409	0.02063	pmid33987465_PD_eur	pmid24076602_MS_eur	pmid33987465_PD_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2387	0.08322	1.02	0.007554	-0.001134	0.004792	pmid33987465_PD_eur	pmid24816252_acetylcarnitine_eur	pmid33987465_PD_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0.03005	0.191	0.1574	0.875	0.5311	0.07086	1.011	0.007157	0.001257	0.004735	pmid33987465_PD_eur	pmid24816252_alanine_eur	pmid33987465_PD_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.003861	0.06438	1.037	0.00723	-0.003183	0.004272	pmid33987465_PD_eur	pmid24816252_arginine_eur	pmid33987465_PD_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0.04224	0.1866	0.2264	0.8209	0.5001	0.06679	1.018	0.007166	0.003104	0.004802	pmid33987465_PD_eur	pmid24816252_asparagine_eur	pmid33987465_PD_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	-0.7987	0.5108	-1.564	0.1179	0.1353	0.06731	1.043	0.00656	0.005358	0.004763	pmid33987465_PD_eur	pmid24816252_cholesterol_eur	pmid33987465_PD_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	-0.2559	0.2013	-1.271	0.2037	0.4553	0.07854	1.058	0.007731	0.009843	0.004686	pmid33987465_PD_eur	pmid24816252_citrate_eur	pmid33987465_PD_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid33987465_PD_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	-0.1431	0.3276	-0.4367	0.6623	0.158	0.05579	0.9327	0.005889	0.006593	0.00466	pmid33987465_PD_eur	pmid24816252_glutamate_eur	pmid33987465_PD_eur/pmid24816252_glutamate_eur	ldsc
