p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	p1_id	p2_id	id	method
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	0	NA	NA	NA	-0.0001627	0.0008892	0.987	0.005993	0.987	0.005994	pmid34737426_APH_eur	pmid34737426_APH_eur	pmid34737426_APH_eur/pmid34737426_APH_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid21833088_MS_eur.sumstats.gz	0	NA	NA	NA	0.05319	0.02776	1.061	0.008927	0.0004396	0.005345	pmid34737426_APH_eur	pmid21833088_MS_eur	pmid34737426_APH_eur/pmid21833088_MS_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24076602_MS_eur.sumstats.gz	0	NA	NA	NA	1.503	0.2496	1.063	0.1086	0.01597	0.01974	pmid34737426_APH_eur	pmid24076602_MS_eur	pmid34737426_APH_eur/pmid24076602_MS_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_acetylcarnitine_eur.sumstats.gz	0	NA	NA	NA	-0.2291	0.08493	1.019	0.00791	-0.001809	0.004595	pmid34737426_APH_eur	pmid24816252_acetylcarnitine_eur	pmid34737426_APH_eur/pmid24816252_acetylcarnitine_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_alanine_eur.sumstats.gz	0	NA	NA	NA	0.5358	0.07148	1.011	0.007382	0.001428	0.005346	pmid34737426_APH_eur	pmid24816252_alanine_eur	pmid34737426_APH_eur/pmid24816252_alanine_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_arginine_eur.sumstats.gz	0	NA	NA	NA	-0.01097	0.06559	1.038	0.007457	-0.005586	0.004744	pmid34737426_APH_eur	pmid24816252_arginine_eur	pmid34737426_APH_eur/pmid24816252_arginine_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_asparagine_eur.sumstats.gz	0	NA	NA	NA	0.513	0.06828	1.017	0.007439	-0.003547	0.005014	pmid34737426_APH_eur	pmid24816252_asparagine_eur	pmid34737426_APH_eur/pmid24816252_asparagine_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_cholesterol_eur.sumstats.gz	0	NA	NA	NA	0.1449	0.06745	1.042	0.006719	0.006784	0.005041	pmid34737426_APH_eur	pmid24816252_cholesterol_eur	pmid34737426_APH_eur/pmid24816252_cholesterol_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_citrate_eur.sumstats.gz	0	NA	NA	NA	0.4561	0.08185	1.058	0.008067	0.003661	0.004849	pmid34737426_APH_eur	pmid24816252_citrate_eur	pmid34737426_APH_eur/pmid24816252_citrate_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glutamate_eur.sumstats.gz	0	NA	NA	NA	0.1515	0.05706	0.9338	0.005888	-0.001476	0.0044	pmid34737426_APH_eur	pmid24816252_glutamate_eur	pmid34737426_APH_eur/pmid24816252_glutamate_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_glycerol_eur.sumstats.gz	0	NA	NA	NA	-0.1327	0.06165	1.017	0.007095	0.0027	0.004613	pmid34737426_APH_eur	pmid24816252_glycerol_eur	pmid34737426_APH_eur/pmid24816252_glycerol_eur	ldsc
../output_sumstats/output_pmid34737426_APH_eur.sumstats.gz	../output_sumstats/output_pmid24816252_histidine_eur.sumstats.gz	0	NA	NA	NA	0.4493	0.07067	0.7554	0.006364	-0.003016	0.003989	pmid34737426_APH_eur	pmid24816252_histidine_eur	pmid34737426_APH_eur/pmid24816252_histidine_eur	ldsc
